
RankLib1 : 0m29,289s
RankLib2 : 0m29,729s
RankLib3 : 0m29,663s
RankLib4 : 0m29,346s
RankLib5 : 0m29,229s
RankLib6 : 0m29,601s
RankLib7 : 0m29,172s
RankLib8 : 0m29,372s
RankLib9 : 0m29,031s
RankLib10 : 0m29,108s
RankLib11 : 0m55,048s
RankLib12 : 0m55,106s
RankLib13 : 0m55,421s
RankLib14 : 0m55,749s
RankLib15 : 0m54,786s
RankLib16 : 0m55,370s
RankLib17 : 0m55,200s
RankLib18 : 0m55,673s
RankLib19 : 0m56,799s
RankLib20 : 0m55,622s
RankLib21 : 1m21,846s
RankLib22 : 1m23,494s
RankLib23 : 1m21,721s
RankLib24 : 1m21,365s
RankLib25 : 1m19,881s
RankLib26 : 1m24,633s
RankLib27 : 1m22,065s
RankLib28 : 1m21,911s
RankLib29 : 1m22,600s
RankLib30 : 1m24,149s
RankLib31 : 1m46,213s
RankLib32 : 1m47,152s
RankLib33 : 1m45,000s
RankLib34 : 1m45,752s
RankLib35 : 1m47,810s
RankLib36 : 1m48,094s
RankLib37 : 1m48,410s
RankLib38 : 1m50,604s
RankLib39 : 1m48,956s
RankLib40 : 1m47,267s
