epochs,learning_rate,momemtum,activation,inner_act,number_layers,number_neurons,dropout,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,0.3,sigmoid,,,,,0.45215999999999995,0.43834,0.4237,0.41297999999999996,0.40414000000000005,0.39712,0.3894,0.38434,0.37889999999999996,0.37417999999999996,0.40552599999999994,0.000611033684,0.39264,0.39527999999999996,0.39644,0.4002800000000001,0.40444,0.41025999999999996,0.4144,0.42055999999999993,0.42594000000000004,0.43222000000000005,0.409246,0.00017003816400000012
500,0.001,0.3,linear,,,,,0.47498000000000007,0.45126,0.44058,0.42715999999999993,0.41853999999999997,0.40965999999999997,0.4002199999999999,0.39380000000000004,0.38848000000000005,0.384,0.41886799999999996,0.0007938221760000006,0.40722,0.40784000000000004,0.41487999999999997,0.4180400000000001,0.4229,0.42797999999999997,0.43162,0.4364,0.44156000000000006,0.44795999999999997,0.42564,0.00017458239999999981
500,0.001,0.5,sigmoid,,,,,0.45882000000000006,0.44604,0.43279999999999996,0.4215999999999999,0.41058000000000006,0.40354,0.39698,0.39066,0.38424,0.37924,0.41245000000000004,0.0006472028199999999,0.39631999999999995,0.40424,0.40826,0.41206,0.41486,0.42096,0.42622,0.43146000000000007,0.43655999999999995,0.44244000000000006,0.41933800000000004,0.00019807571600000048
500,0.001,0.5,linear,,,,,0.47754,0.45253999999999994,0.44044,0.42686,0.41748,0.40846,0.40081999999999995,0.39388,0.38786,0.3827,0.418858,0.0008435433160000002,0.41096000000000005,0.4079400000000001,0.41435999999999995,0.41794000000000003,0.42250000000000004,0.42756,0.43192,0.4365,0.44122000000000006,0.44686000000000003,0.42577600000000004,0.00015790846399999994
500,0.075,0.3,sigmoid,,,,,0.47636,0.45430000000000004,0.4401,0.42774,0.41842000000000007,0.41030000000000005,0.40376,0.39758000000000004,0.39002,0.38436000000000003,0.420294,0.0007847983239999999,0.4103,0.41125999999999996,0.41532,0.41891999999999996,0.4227600000000001,0.42838000000000004,0.43343999999999994,0.43872,0.44327999999999995,0.4487,0.42710799999999993,0.00016628721599999983
500,0.075,0.3,linear,,,,,0.45983999999999997,0.43945999999999996,0.42706,0.41600000000000004,0.40919999999999995,0.40025999999999995,0.39306,0.38688,0.38134000000000007,0.37728000000000006,0.40903799999999996,0.0006478705959999987,0.39168000000000003,0.39326,0.39792,0.40198,0.4074,0.41251999999999994,0.41773999999999994,0.42324,0.42871999999999993,0.43486,0.410932,0.00020341841599999972
500,0.075,0.5,sigmoid,,,,,0.47598,0.45488,0.43987999999999994,0.42826000000000003,0.41913999999999996,0.41064000000000006,0.40356000000000003,0.39812000000000003,0.3907,0.38412,0.420528,0.0007794250559999996,0.40926,0.41129999999999994,0.41530000000000006,0.41922,0.42329999999999995,0.42842,0.43355999999999995,0.43922,0.44384000000000007,0.44874,0.42721599999999993,0.00017224310400000035
500,0.075,0.5,linear,,,,,0.45274000000000003,0.4346,0.42102000000000006,0.40924000000000005,0.4016,0.39442000000000005,0.3888,0.38236,0.37717999999999996,0.37268,0.40346400000000004,0.0006123333440000006,0.3857399999999999,0.38714,0.39121999999999996,0.39522,0.39986,0.40571999999999997,0.41129999999999994,0.41635999999999995,0.42191999999999996,0.42779999999999996,0.404228,0.00019713081599999992
1000,0.001,0.3,sigmoid,,,,,0.46396,0.45309999999999995,0.43682,0.42534,0.41668000000000005,0.40682,0.3979,0.39182,0.38594,0.38166,0.41600399999999993,0.0007277135839999995,0.39998,0.40965999999999997,0.41134000000000004,0.41454,0.41898,0.42346000000000006,0.42752,0.43284,0.43777999999999995,0.44374,0.421984,0.0001687304639999999
1000,0.001,0.3,linear,,,,,0.47497999999999996,0.45106,0.43995999999999996,0.42788000000000004,0.41866000000000003,0.40922000000000003,0.40038,0.39390000000000003,0.38896000000000003,0.38423999999999997,0.4189240000000001,0.0007862859839999993,0.4073399999999999,0.40772,0.41416,0.41807999999999995,0.42289999999999994,0.42774,0.43170000000000003,0.43646,0.44182000000000005,0.44776,0.425568,0.0001761708960000005
1000,0.001,0.5,sigmoid,,,,,0.47146,0.44752000000000003,0.43782,0.426,0.41688000000000003,0.40674,0.39938,0.39298,0.38761999999999996,0.38244,0.41688400000000003,0.0007461984640000002,0.40616,0.40424,0.41095999999999994,0.41434,0.41879999999999995,0.42322,0.42783999999999994,0.43292,0.43898000000000004,0.4444,0.42218600000000006,0.0001701695240000004
1000,0.001,0.5,linear,,,,,0.4771599999999999,0.45289999999999997,0.44078,0.42716000000000004,0.41858000000000006,0.40924000000000005,0.40084,0.39424000000000003,0.38876,0.3836399999999999,0.41933,0.0008274724999999993,0.41044,0.4091,0.41487999999999997,0.41784,0.4231,0.4281,0.43232,0.43694,0.442,0.44770000000000004,0.42624199999999995,0.0001616713960000001
1000,0.075,0.3,sigmoid,,,,,0.47756,0.4545,0.43987999999999994,0.42810000000000004,0.41929999999999995,0.41066,0.40376,0.39762,0.39083999999999997,0.38450000000000006,0.420672,0.0007922595359999996,0.41096000000000005,0.41126000000000007,0.41522000000000003,0.41904,0.42325999999999997,0.4284,0.43348,0.43879999999999997,0.4438000000000001,0.44886,0.427308,0.0001663488159999996
1000,0.075,0.3,linear,,,,,0.46004000000000006,0.43981999999999993,0.42728,0.41584000000000004,0.4093,0.40048000000000006,0.39305999999999996,0.38656,0.38144,0.37712,0.40909399999999996,0.0006542015240000002,0.39186,0.3938400000000001,0.39834,0.40208000000000005,0.40775999999999996,0.41296,0.41791999999999996,0.42332000000000003,0.42912,0.43500000000000005,0.41122,0.00020185055999999993
1000,0.075,0.5,sigmoid,,,,,0.47756,0.4552600000000001,0.44078,0.42806000000000005,0.42013999999999996,0.41066,0.4035,0.39791999999999994,0.391,0.3841,0.42089800000000005,0.0008021970760000007,0.41058000000000006,0.41186000000000006,0.4158200000000001,0.41916000000000003,0.42379999999999995,0.42838000000000004,0.43332,0.43911999999999995,0.44401999999999997,0.44875999999999994,0.42748200000000003,0.00016451299599999893
1000,0.075,0.5,linear,,,,,0.45253999999999994,0.43401999999999996,0.42064,0.40958000000000006,0.40168,0.39454,0.38906,0.38214000000000004,0.37714,0.37266,0.4034,0.0006061350399999993,0.38556,0.38648,0.39071999999999996,0.39518,0.39962,0.40556000000000003,0.41138,0.41604,0.42172,0.4276,0.403986,0.00019931352400000014
300,0.0025,0.5,linear,relu,1,100,0.65,0.47478,0.45476,0.44118,0.4298,0.42078,0.41214000000000006,0.40508,0.3984599999999999,0.39122,0.38580000000000003,0.42140000000000005,0.0007481032799999998,0.41178,0.4107200000000001,0.41502,0.4197,0.4243,0.42990000000000006,0.43494,0.4407,0.44530000000000003,0.45108,0.42834399999999995,0.00018566038399999972
300,0.0025,0.5,linear,relu,1,100,0.8,0.46828000000000003,0.44858000000000003,0.43532000000000004,0.42372,0.41509999999999997,0.4063,0.3987,0.39132,0.38564,0.38094,0.41539000000000004,0.0007378020200000006,0.40316,0.4048,0.4085,0.41214000000000006,0.41753999999999997,0.42306,0.42757999999999996,0.43217999999999995,0.43738,0.44383999999999996,0.42101799999999995,0.00017899259599999954
300,0.0025,0.5,linear,relu,2,100,0.65,0.47302,0.45244,0.43742000000000003,0.4284,0.4205,0.40994,0.40002000000000004,0.39282,0.38648000000000005,0.38046,0.4181500000000001,0.0008129673799999995,0.40896,0.41072,0.41362000000000004,0.4188599999999999,0.4241400000000001,0.42882,0.43200000000000005,0.43635999999999997,0.44121999999999995,0.44632000000000005,0.42610200000000004,0.00015272723600000016
