epochs,learning_rate,Opti method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.4425,0.4238,0.4117,0.3992,0.3882,0.3838,0.3756,0.3679,0.3641,0.3585,0.39153000000000004,0.0006831321000000003,0.3763,0.3782,0.3831,0.3854,0.3879,0.3952,0.3991,0.4027,0.4097,0.4152,0.39327999999999996,0.00015867960000000005
500,0.001,NDCG@10,0.4435,0.4341,0.4087,0.396,0.3872,0.3797,0.37,0.3626,0.3588,0.3549,0.38955,0.0008660865000000002,0.3759,0.3882,0.3857,0.3871,0.3911,0.3967,0.3987,0.4038,0.4102,0.416,0.39534,0.00013400639999999994
500,0.001,P@5,0.4464,0.4154,0.4054,0.3938,0.3884,0.3818,0.3734,0.3639,0.3602,0.3561,0.38848,0.0007118435999999999,0.3809,0.372,0.3752,0.3778,0.3843,0.3913,0.3949,0.3988,0.4053,0.4114,0.38919,0.0001595808999999999
500,0.001,P@10,0.4395,0.4208,0.4061,0.3975,0.3862,0.3822,0.3736,0.3666,0.362,0.3561,0.3890600000000001,0.0006530524000000002,0.3746,0.3754,0.379,0.383,0.3858,0.3934,0.3967,0.4016,0.4074,0.4126,0.39095,0.0001633465000000001
500,0.001,ERR@10,0.4415,0.4208,0.4035,0.3943,0.3862,0.3799,0.3742,0.3642,0.36,0.3553,0.38799,0.0006897049000000002,0.3753,0.3755,0.3753,0.3807,0.3846,0.3899,0.3962,0.3995,0.4049,0.4111,0.3893,0.00015491
500,1e-05,NDCG@5,0.4356,0.4086,0.3956,0.3798,0.3721,0.3627,0.3578,0.3519,0.3493,0.3442,0.37576,0.0007841223999999999,0.372,0.3644,0.3664,0.3664,0.3715,0.3756,0.3797,0.3842,0.3911,0.3972,0.37684999999999996,0.00011064449999999997
500,1e-05,NDCG@10,0.4454,0.4243,0.4107,0.4014,0.3925,0.3833,0.3729,0.369,0.3613,0.3554,0.39161999999999997,0.0007583256000000002,0.3812,0.3795,0.3819,0.386,0.3903,0.3958,0.3987,0.4049,0.4082,0.4126,0.39391,0.00012898490000000005
500,1e-05,P@5,0.411,0.3864,0.3723,0.3682,0.3595,0.3541,0.3484,0.3438,0.3396,0.3357,0.3619,0.0004919099999999998,0.3507,0.346,0.3485,0.3552,0.3582,0.3638,0.368,0.3732,0.3786,0.3834,0.36256,0.0001521684000000001
500,1e-05,P@10,0.4317,0.409,0.4012,0.3862,0.3762,0.3715,0.3649,0.3574,0.3533,0.3479,0.37993,0.0006570480999999997,0.3635,0.3602,0.3713,0.3736,0.378,0.3842,0.389,0.394,0.4003,0.405,0.38190999999999997,0.00020801890000000006
500,1e-05,ERR@10,0.4228,0.4208,0.4009,0.3955,0.3847,0.3809,0.3728,0.3649,0.3611,0.3581,0.38625,0.0004922485000000003,0.3586,0.3734,0.3749,0.3811,0.3839,0.392,0.3951,0.3989,0.4043,0.4109,0.38731,0.0002284109
