epochs,learning_rate,Opti method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.4572,0.4322,0.4149,0.4086,0.4094,0.4007,0.3928,0.3868,0.3815,0.3752,0.40593,0.0005525221,0.3845,0.3705,0.3723,0.3776,0.3872,0.3936,0.3975,0.4028,0.408,0.413,0.3907,0.00019665399999999975
500,0.001,NDCG@10,0.4454,0.4145,0.411,0.4071,0.4018,0.3992,0.3928,0.392,0.3845,0.3776,0.40259,0.0003237469000000001,0.3766,0.3528,0.3619,0.3688,0.3765,0.3857,0.3916,0.3996,0.4041,0.4085,0.38261,0.00030928489999999993
500,0.001,P@5,0.4454,0.4218,0.4149,0.41,0.4047,0.4007,0.3953,0.3901,0.3825,0.3755,0.40408999999999995,0.0003740309000000001,0.3707,0.3616,0.3676,0.373,0.3797,0.39,0.395,0.4013,0.4053,0.4105,0.38547,0.00026777210000000014
500,0.001,P@10,0.4513,0.4351,0.413,0.4086,0.4047,0.4012,0.3944,0.3897,0.3825,0.3767,0.40571999999999997,0.0004789595999999998,0.3766,0.3677,0.3675,0.375,0.3815,0.3899,0.3954,0.4022,0.4069,0.4129,0.38755999999999996,0.00024088439999999978
500,0.001,ERR@10,0.4454,0.4322,0.412,0.4122,0.4083,0.4051,0.3978,0.392,0.3841,0.3773,0.40664000000000006,0.00038817839999999985,0.3707,0.3695,0.3706,0.3788,0.384,0.3935,0.3989,0.4048,0.4093,0.4141,0.38942,0.0002590976000000001
500,1e-05,NDCG@5,0.4366,0.4027,0.4071,0.3953,0.3817,0.3756,0.3654,0.3595,0.3546,0.3496,0.38281,0.0006833368999999998,0.3559,0.3456,0.36,0.366,0.365,0.3703,0.3744,0.378,0.383,0.3884,0.36866,0.0001508224000000001
500,1e-05,NDCG@10,0.4071,0.3909,0.3894,0.3835,0.3752,0.3707,0.3628,0.3573,0.3599,0.3563,0.37531000000000003,0.00026202290000000025,0.3343,0.3395,0.348,0.3525,0.3574,0.3615,0.3644,0.369,0.3778,0.384,0.35884,0.00022697440000000015
500,1e-05,P@5,0.4484,0.4263,0.409,0.4004,0.3965,0.3913,0.3822,0.3794,0.3714,0.364,0.39689,0.0005961789000000002,0.3697,0.3611,0.3636,0.3693,0.3754,0.3808,0.3848,0.3902,0.3941,0.3996,0.3788599999999999,0.00015656040000000017
500,1e-05,P@10,0.413,0.4218,0.4061,0.4019,0.3917,0.3859,0.3847,0.3776,0.3704,0.3664,0.39195,0.00030457049999999995,0.3304,0.3604,0.364,0.3699,0.3719,0.378,0.3864,0.3888,0.3937,0.3996,0.37431000000000003,0.0003638428999999998
500,1e-05,ERR@10,0.4366,0.4086,0.4012,0.4012,0.39,0.3874,0.3784,0.3721,0.3651,0.3631,0.39037,0.0004572381000000002,0.3756,0.3525,0.3567,0.3655,0.3682,0.376,0.3797,0.3839,0.3884,0.3944,0.37409,0.0001627929
