epochs,learning_rate,Opti method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.4464600000000001,0.42889999999999995,0.41489999999999994,0.40386,0.39248000000000005,0.38568,0.37862000000000007,0.37182000000000004,0.36612000000000006,0.35974,0.394858,0.0007247801159999994,0.3822,0.38669999999999993,0.39044,0.39403999999999995,0.39664,0.40225999999999995,0.40707999999999994,0.41208,0.41742000000000007,0.42208000000000007,0.40109399999999995,0.00016121096400000077
500,0.001,NDCG@10,0.44684,0.43352,0.41478000000000004,0.40293999999999996,0.39244,0.38544,0.3768,0.3702,0.36477999999999994,0.35910000000000003,0.394684,0.0007870755040000005,0.38336000000000003,0.39127999999999996,0.39194,0.39518,0.39797999999999994,0.40341999999999995,0.4072,0.41235999999999995,0.41786,0.42304,0.402362,0.00014555411600000005
500,0.001,P@5,0.45115999999999995,0.42996,0.4141,0.4002,0.39174,0.3839,0.37654,0.37035999999999997,0.36508,0.36036000000000007,0.39434,0.0007940515999999993,0.38720000000000004,0.38766,0.38980000000000004,0.3921,0.39588,0.40119999999999995,0.40581999999999996,0.41136,0.41703999999999997,0.42274,0.40108000000000005,0.00014597071999999966
500,0.001,P@10,0.44858000000000003,0.42985999999999996,0.41562,0.40236,0.39314,0.38722,0.37917999999999996,0.3721,0.36682,0.36124,0.395612,0.0007334164960000004,0.38461999999999996,0.38811999999999997,0.39147999999999994,0.39386,0.39748,0.4039,0.40822,0.4130400000000001,0.41878000000000004,0.42406000000000005,0.402356,0.0001623203840000009
500,0.001,ERR@10,0.45194,0.43065999999999993,0.41372,0.40176,0.39259999999999995,0.38464,0.3772,0.37088,0.36576,0.35996,0.39491200000000004,0.000800434096,0.38717999999999997,0.3889,0.38986,0.39344,0.39690000000000003,0.40184,0.40656,0.41196,0.41742,0.42262000000000005,0.401668,0.00014197849600000023
500,1e-05,NDCG@5,0.42732000000000003,0.41078000000000003,0.3982200000000001,0.38893999999999995,0.38036,0.37084,0.36310000000000003,0.35750000000000004,0.35256,0.34792,0.379754,0.0006255852840000005,0.36664,0.36929999999999996,0.37273999999999996,0.37736000000000003,0.38156,0.38564000000000004,0.38932,0.39449999999999996,0.39986,0.40569999999999995,0.384262,0.0001557275559999998
500,1e-05,NDCG@10,0.43262,0.40896,0.39635999999999993,0.38517999999999997,0.37858,0.37202,0.36458,0.35995999999999995,0.35446,0.3503,0.38030200000000003,0.0006140572359999999,0.37024,0.36794000000000004,0.37212,0.37506,0.38042,0.38587999999999995,0.39014000000000004,0.39580000000000004,0.40092,0.40678000000000003,0.38453,0.00016640154000000006
500,1e-05,P@5,0.42279999999999995,0.40624000000000005,0.39324000000000003,0.38470000000000004,0.37606,0.36862000000000006,0.36288,0.35795999999999994,0.35287999999999997,0.34874,0.37741199999999997,0.0005287353760000004,0.36222000000000004,0.36588000000000004,0.36858,0.37370000000000003,0.37864,0.38346,0.38798,0.39368000000000003,0.39918000000000003,0.40464,0.381796,0.00018929990399999983
500,1e-05,P@10,0.43106,0.41056,0.39986,0.38994,0.38029999999999997,0.37422,0.36886,0.36360000000000003,0.35834,0.3534,0.383014,0.0005546692039999998,0.36734,0.36741999999999997,0.37370000000000003,0.3778,0.3814,0.38794,0.39378,0.40005999999999997,0.40532,0.41052,0.38652800000000004,0.00021667825599999994
500,1e-05,ERR@10,0.42177999999999993,0.40936000000000006,0.39278,0.38472,0.37612,0.36958,0.36341999999999997,0.35744000000000004,0.35394000000000003,0.34958,0.377872,0.0005259881759999996,0.3623,0.36744000000000004,0.3692,0.37356,0.37748,0.38338,0.3875,0.39265999999999995,0.39866,0.40434000000000003,0.381652,0.00017767977600000002
1000,0.001,NDCG@5,0.44542000000000004,0.42742,0.41156000000000004,0.39946000000000004,0.39012,0.38318,0.376,0.3694,0.36488,0.36024,0.392768,0.0007132898560000007,0.38278,0.38548,0.38768,0.39104,0.39456,0.40056,0.40546,0.41066,0.41647999999999996,0.4223,0.3996999999999999,0.00016807575999999987
1000,0.001,NDCG@10,0.45136000000000004,0.43086,0.4136,0.40148,0.39204,0.38519999999999993,0.3773,0.37062000000000006,0.36492,0.36018,0.394756,0.0007979459040000003,0.38724000000000003,0.38924000000000003,0.38974,0.39316,0.39658000000000004,0.4022,0.40636,0.41158,0.41685999999999995,0.42230000000000006,0.40152599999999994,0.000137999364
1000,0.001,P@5,0.44817999999999997,0.43016000000000004,0.4145,0.4013,0.39214,0.38398000000000004,0.37645999999999996,0.36916,0.3648999999999999,0.35938,0.394016,0.0007790447040000008,0.38436000000000003,0.38869999999999993,0.39046000000000003,0.39313999999999993,0.39676000000000006,0.40171999999999997,0.40624000000000005,0.41068,0.41716,0.42252,0.40117400000000003,0.000146466004
1000,0.001,P@10,0.4523400000000001,0.43146000000000007,0.41498000000000007,0.40271999999999997,0.39124,0.38536,0.37729999999999997,0.37076000000000003,0.36497999999999997,0.35994000000000004,0.3951079999999999,0.0008214228160000013,0.38694,0.38954,0.39082000000000006,0.39422,0.39665999999999996,0.40312000000000003,0.4074,0.41244,0.41781999999999997,0.42312000000000005,0.402208,0.00014313937599999993
1000,0.001,ERR@10,0.44898,0.42852000000000007,0.4136,0.40244,0.39242,0.38458,0.37694,0.36946,0.36398,0.3592000000000001,0.394012,0.0007766551359999997,0.38554000000000005,0.38625999999999994,0.38908,0.39234,0.39608,0.40123999999999993,0.40571999999999997,0.41018,0.41580000000000006,0.42146,0.40037,0.00014378586000000015
1000,1e-05,NDCG@5,0.44308,0.42275999999999997,0.40793999999999997,0.39436,0.38528,0.37910000000000005,0.37278,0.36534000000000005,0.36001999999999995,0.3564,0.38870600000000005,0.0007288305639999993,0.382,0.38038000000000005,0.3837,0.38602000000000003,0.38946000000000003,0.39546000000000003,0.40034000000000003,0.40512,0.41056,0.41655999999999993,0.39496000000000003,0.00014598391999999942
1000,1e-05,NDCG@10,0.4405,0.42001999999999995,0.40650000000000003,0.39438000000000006,0.38532,0.37696,0.37045999999999996,0.36500000000000005,0.35972,0.3557,0.387456,0.0006970289439999997,0.37760000000000005,0.378,0.38260000000000005,0.38517999999999997,0.38936,0.39433999999999997,0.39882,0.4042800000000001,0.40982,0.41612,0.3936120000000001,0.000162132976
1000,1e-05,P@5,0.43714,0.4213,0.40664,0.39574000000000004,0.38680000000000003,0.37764000000000003,0.36994000000000005,0.36462000000000006,0.35953999999999997,0.35578000000000004,0.387514,0.0006758282439999993,0.37572,0.38026,0.38356,0.38722,0.39071999999999996,0.39542000000000005,0.3995,0.40548,0.41084,0.41702000000000006,0.394574,0.0001662934440000003
1000,1e-05,P@10,0.4429,0.42218,0.40884,0.39688,0.3874,0.37944,0.37206,0.36628,0.3611,0.35662,0.38937,0.0007184463400000003,0.37972,0.38028000000000006,0.38528,0.38815999999999995,0.39144,0.39649999999999996,0.40082000000000007,0.40652,0.41196,0.41762,0.39583,0.00015653441999999982
1000,1e-05,ERR@10,0.43836,0.4222,0.40358,0.39274,0.38346,0.37634,0.36936,0.36329999999999996,0.35818,0.35372,0.386124,0.0007114237440000006,0.37676,0.3795,0.3801,0.38404,0.38776,0.39380000000000004,0.39812000000000003,0.40362,0.40936000000000006,0.41475999999999996,0.39278199999999996,0.0001600447560000001
1500,0.001,NDCG@5,0.4464,0.43016,0.41575999999999996,0.40314000000000005,0.39278,0.38564,0.37874,0.37099999999999994,0.36502,0.35961999999999994,0.39482599999999995,0.0007458590440000007,0.38351999999999997,0.38802000000000003,0.39052,0.39368000000000003,0.39662,0.40258000000000005,0.4073399999999999,0.41150000000000003,0.41678,0.42214,0.40126999999999996,0.00015047490000000003
1500,0.001,NDCG@10,0.45136000000000004,0.43036,0.41167999999999993,0.40074000000000004,0.39116,0.38344,0.37646,0.36958,0.36382000000000003,0.35936,0.393796,0.0008104142239999999,0.38662,0.38868,0.38888,0.39300000000000007,0.39592,0.40118,0.40603999999999996,0.41066,0.4164,0.42228000000000004,0.40096600000000004,0.00014040040399999993
1500,0.001,P@5,0.4486199999999999,0.4310600000000001,0.41633999999999993,0.40274,0.39256,0.38542,0.37778000000000006,0.37138,0.36496,0.35973999999999995,0.39505999999999997,0.0007788527199999996,0.38398,0.38991999999999993,0.39202,0.39468,0.39746000000000004,0.4034,0.40754,0.41294,0.41791999999999996,0.42347999999999997,0.402334,0.00015104976399999993
1500,0.001,P@10,0.45133999999999996,0.43123999999999996,0.41496000000000005,0.40120000000000006,0.39234,0.38526000000000005,0.3766,0.37132,0.36486,0.36072000000000004,0.394984,0.0008009155839999992,0.38633999999999996,0.39044,0.39238,0.39460000000000006,0.39812,0.40378,0.40772,0.41318,0.41816000000000003,0.42424,0.402896,0.00014498422400000015
1500,0.001,ERR@10,0.44604,0.42712000000000006,0.41340000000000005,0.40208000000000005,0.39234,0.38372,0.37626,0.36894,0.36354,0.35874,0.39321799999999996,0.0007462851560000006,0.38258000000000003,0.38564,0.3889,0.39276,0.39683999999999997,0.40137999999999996,0.40614,0.41037999999999997,0.41568000000000005,0.4216399999999999,0.40019399999999994,0.00015564032399999957
1500,1e-05,NDCG@5,0.44664000000000004,0.42672,0.41023999999999994,0.3967,0.38818,0.37995999999999996,0.37379999999999997,0.36808,0.36266,0.35754,0.391052,0.0007648096159999999,0.38384,0.38594,0.38694,0.38888,0.39376,0.39846,0.40362,0.4092199999999999,0.41466000000000003,0.41997999999999996,0.39853000000000005,0.00014849761999999968
1500,1e-05,NDCG@10,0.44308,0.42208000000000007,0.4074,0.39702,0.38861999999999997,0.38008,0.37398,0.36824,0.36354,0.35831999999999997,0.39023599999999997,0.0006732299040000004,0.38070000000000004,0.38076000000000004,0.38343999999999995,0.3881,0.39228,0.39674000000000004,0.40184,0.40767999999999993,0.41372,0.41894,0.39642,0.00017099031999999952
1500,1e-05,P@5,0.44602,0.42694,0.41056,0.39812000000000003,0.38878,0.38144,0.37429999999999997,0.36738000000000004,0.36254,0.35778000000000004,0.39138599999999996,0.0007597338439999998,0.38258000000000003,0.38508,0.3868,0.3895799999999999,0.39332,0.39862000000000003,0.40318000000000004,0.40768000000000004,0.41346,0.41899999999999993,0.39793,0.00014238233999999992
1500,1e-05,P@10,0.44114000000000003,0.42458,0.4061,0.39532,0.38777999999999996,0.37916,0.37216,0.36751999999999996,0.36228,0.35728,0.38933199999999996,0.0006879172960000009,0.37898,0.38262,0.38316,0.38666,0.39174000000000003,0.3966,0.40108,0.40750000000000003,0.41263999999999995,0.418,0.39589799999999997,0.0001658155559999998
1500,1e-05,ERR@10,0.45232,0.42750000000000005,0.40934,0.39688,0.38838,0.38038,0.37414000000000003,0.36819999999999997,0.36404000000000003,0.35910000000000003,0.392028,0.0008120954559999999,0.38734,0.38668,0.38742,0.39058000000000004,0.39425999999999994,0.39944,0.40459999999999996,0.40990000000000004,0.4162,0.42153999999999997,0.399796,0.0001463117439999999
2000,0.001,NDCG@5,0.44582000000000005,0.42998000000000003,0.4135400000000001,0.40190000000000003,0.3922,0.38652,0.37914,0.37202,0.36626000000000003,0.36166,0.39490400000000003,0.000699443584000001,0.38346,0.38876000000000005,0.38968,0.39332,0.39658,0.40275999999999995,0.40725999999999996,0.4119,0.41720000000000007,0.42334000000000005,0.401426,0.00015849264400000007
2000,0.001,NDCG@10,0.45312,0.43145999999999995,0.41434,0.40190000000000003,0.39293999999999996,0.38588,0.37826,0.37132,0.366,0.36034,0.395556,0.0008096523840000001,0.38878,0.38984,0.39078,0.39405999999999997,0.39794,0.40318000000000004,0.40762,0.41292,0.4184799999999999,0.42363999999999996,0.4027240000000001,0.00014149110399999947
2000,0.001,P@5,0.44820000000000004,0.43056,0.41326,0.40128,0.39183999999999997,0.3841,0.37634,0.36922,0.364,0.3592000000000001,0.3938,0.0007837459200000001,0.38568,0.38924,0.3896,0.39255999999999996,0.39642,0.40190000000000003,0.40615999999999997,0.41098,0.41662,0.4225,0.4011659999999999,0.00014281648399999997
2000,0.001,P@10,0.44328,0.42641999999999997,0.413,0.40137999999999996,0.39089999999999997,0.3841,0.37628000000000006,0.36966,0.36429999999999996,0.35912,0.392844,0.0006994434239999998,0.38180000000000003,0.38567999999999997,0.3883,0.39174,0.39478,0.40015999999999996,0.40474,0.40991999999999995,0.41575999999999996,0.42112,0.3994,0.00015803999999999978
2000,0.001,ERR@10,0.44702000000000003,0.42779999999999996,0.41500000000000004,0.40248,0.3924,0.38424,0.37689999999999996,0.37038000000000004,0.36436,0.35869999999999996,0.393928,0.0007539170560000003,0.3833,0.38703999999999994,0.39056,0.39346,0.39670000000000005,0.40180000000000005,0.4064,0.41134000000000004,0.41608,0.42142,0.40081000000000006,0.00014732442000000036
2000,1e-05,NDCG@5,0.44681999999999994,0.42918,0.41102,0.40148,0.39108,0.38306,0.37686000000000003,0.37096,0.36547999999999997,0.36022000000000004,0.393616,0.0007279051039999991,0.38286,0.38718,0.38818,0.39268000000000003,0.39568,0.4008999999999999,0.40598,0.41162,0.41703999999999997,0.42216,0.40042800000000006,0.00016212793599999968
2000,1e-05,NDCG@10,0.44781999999999994,0.42634,0.41037999999999997,0.39816,0.38888,0.38154,0.37394000000000005,0.36819999999999997,0.363,0.35828000000000004,0.391654,0.0007659468839999988,0.3832,0.38452000000000003,0.38630000000000003,0.38932,0.39366,0.39909999999999995,0.40372,0.4095000000000001,0.41495999999999994,0.4206,0.39848799999999995,0.00015940169599999975
2000,1e-05,P@5,0.45176,0.43038,0.41414,0.40198,0.39155999999999996,0.38444,0.37686,0.37116000000000005,0.36538000000000004,0.361,0.39486600000000005,0.0007942419239999997,0.38686,0.38734,0.39002,0.39327999999999996,0.39618000000000003,0.40196,0.40650000000000003,0.41174,0.4173,0.4229,0.401408,0.0001480080960000001
2000,1e-05,P@10,0.4466200000000001,0.42867999999999995,0.41056,0.39966,0.3895,0.38194,0.37483999999999995,0.36882000000000004,0.36386,0.35892,0.3923400000000001,0.0007556137600000002,0.38304,0.3863,0.38758,0.39144000000000007,0.39468000000000003,0.4003,0.40478000000000003,0.41028000000000003,0.41596,0.42126,0.399562,0.0001564571560000002
2000,1e-05,ERR@10,0.4478,0.43026,0.41456,0.40174000000000004,0.39211999999999997,0.38548,0.37629999999999997,0.37058,0.36516000000000004,0.36026,0.394426,0.0007598078439999993,0.38346,0.38766,0.39028,0.39264,0.39683999999999997,0.4027799999999999,0.4061,0.41162,0.41708,0.42254,0.4010999999999999,0.00015521216
