epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.001,0.01,Identity,,,,0.4822,0.4615,0.4487,0.4398,0.4298,0.419,0.4114,0.4048,0.4009,0.3946,0.42927,0.0007359501000000004,0.4106,0.4149,0.4198,0.4256,0.4293,0.4331,0.437,0.4416,0.4477,0.4528,0.43124,0.0001739183999999998
100,0.001,0.01,Sigmoid,,,,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.1,Identity,,,,0.4822,0.4625,0.4487,0.4398,0.43,0.4188,0.4112,0.4048,0.4009,0.3948,0.42937000000000003,0.0007422621000000006,0.4106,0.4159,0.42,0.4259,0.4296,0.4332,0.4371,0.4418,0.4479,0.4531,0.43151,0.0001723249000000001
100,0.001,0.1,Sigmoid,,,,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.001,0.3,Identity,,,,0.4822,0.4625,0.4487,0.4396,0.4296,0.4188,0.4118,0.4051,0.4009,0.3948,0.42940000000000006,0.0007382040000000004,0.4106,0.4159,0.42,0.4258,0.4294,0.4332,0.4374,0.442,0.448,0.4532,0.43155,0.00017403849999999996
100,0.001,0.3,Sigmoid,,,,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.01,Identity,,,,0.4458,0.4344,0.4224,0.4125,0.4008,0.394,0.3866,0.3809,0.376,0.3722,0.40256,0.0005803323999999998,0.378,0.389,0.3902,0.3943,0.3968,0.4026,0.4074,0.412,0.4169,0.4222,0.40093999999999996,0.0001718904
100,0.075,0.01,Sigmoid,,,,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.1,Identity,,,,0.4566,0.4374,0.4264,0.4152,0.4036,0.3979,0.3907,0.3852,0.3779,0.375,0.4065899999999999,0.0006532349000000001,0.3843,0.3919,0.394,0.3961,0.3991,0.4053,0.4111,0.4158,0.4189,0.4253,0.40418000000000004,0.00015876360000000007
100,0.075,0.1,Sigmoid,,,,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
100,0.075,0.3,Identity,,,,0.4566,0.4374,0.4264,0.4152,0.4036,0.3979,0.3907,0.3852,0.3779,0.375,0.4065899999999999,0.0006532349000000001,0.3843,0.3919,0.394,0.3961,0.3991,0.4053,0.4111,0.4158,0.4189,0.4253,0.40418000000000004,0.00015876360000000007
100,0.075,0.3,Sigmoid,,,,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
500,0.001,0.01,Identity,,,,0.4832,0.4625,0.449,0.4393,0.429,0.4191,0.4121,0.4047,0.4013,0.3953,0.42955,0.0007440045000000006,0.4103,0.4153,0.4201,0.4254,0.429,0.4334,0.4375,0.4416,0.4482,0.4534,0.43142,0.0001785356000000001
500,0.001,0.01,Sigmoid,,,,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
500,0.001,0.1,Identity,,,,0.4832,0.4625,0.449,0.4393,0.429,0.4191,0.4121,0.4047,0.4013,0.3953,0.42955,0.0007440045000000006,0.4103,0.4153,0.4201,0.4254,0.429,0.4334,0.4375,0.4416,0.4482,0.4534,0.43142,0.0001785356000000001
500,0.001,0.1,Sigmoid,,,,0.1371,0.1967,0.2232,0.2372,0.2499,0.2574,0.2601,0.265,0.2684,0.272,0.2367,0.0015904820000000003,0.1088,0.164,0.185,0.1973,0.2108,0.222,0.2304,0.2401,0.2485,0.2568,0.20637,0.0018151260999999998
500,0.001,0.3,Identity,,,,0.4832,0.4625,0.449,0.4393,0.429,0.4191,0.4119,0.4047,0.4013,0.3953,0.42953,0.0007447061000000007,0.4103,0.4153,0.4201,0.4254,0.429,0.4334,0.4374,0.4416,0.4482,0.4534,0.43140999999999996,0.00017841490000000015
