epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.001,0.01,Identity,,,,0.4663399999999999,0.44954,0.43757999999999997,0.42379999999999995,0.41448,0.40568,0.39822,0.3912,0.38512,0.38036000000000003,0.41523200000000005,0.0007443450559999986,0.40015999999999996,0.4053400000000001,0.40987999999999997,0.41215999999999997,0.41672000000000003,0.42205999999999994,0.42724,0.43221999999999994,0.4366,0.44304,0.420542,0.00017926331599999975
100,0.001,0.01,Sigmoid,,,,0.13357999999999998,0.18942,0.21589999999999998,0.2286,0.24123999999999998,0.24889999999999998,0.25328,0.25637999999999994,0.25926,0.26176000000000005,0.22883199999999998,0.0014716936160000002,0.10874000000000002,0.15756,0.17822000000000002,0.19078,0.20461999999999997,0.21624000000000004,0.22476,0.23346,0.24173999999999998,0.24954,0.20056599999999997,0.0016899864839999997
100,0.001,0.1,Identity,,,,0.4663399999999999,0.44924,0.43776000000000004,0.42379999999999995,0.41459999999999997,0.4057799999999999,0.39832,0.39114,0.38505999999999996,0.38054000000000004,0.415258,0.0007419550759999992,0.40015999999999996,0.40540000000000004,0.40990000000000004,0.41204,0.41685999999999995,0.42211999999999994,0.42728,0.43232,0.43658,0.4434600000000001,0.42061200000000004,0.00018128145600000033
100,0.001,0.1,Sigmoid,,,,0.13357999999999998,0.18942,0.21589999999999998,0.2286,0.24123999999999998,0.24889999999999998,0.25328,0.25637999999999994,0.25926,0.26176000000000005,0.22883199999999998,0.0014716936160000002,0.10874000000000002,0.15756,0.17822000000000002,0.19078,0.20461999999999997,0.21624000000000004,0.22476,0.23346,0.24173999999999998,0.24954,0.20056599999999997,0.0016899864839999997
100,0.001,0.3,Identity,,,,0.4663399999999999,0.44982,0.43718,0.42394,0.4147,0.4057799999999999,0.39815999999999996,0.39122,0.38511999999999996,0.38036,0.4152620000000001,0.0007446333959999998,0.40015999999999996,0.4056,0.4096,0.41215999999999997,0.41694,0.42210000000000003,0.42713999999999996,0.43233999999999995,0.43671999999999994,0.44299999999999995,0.42057599999999995,0.00017928806399999958
100,0.001,0.3,Sigmoid,,,,0.13357999999999998,0.18942,0.21589999999999998,0.2286,0.24123999999999998,0.24889999999999998,0.25328,0.25637999999999994,0.25926,0.26176000000000005,0.22883199999999998,0.0014716936160000002,0.10874000000000002,0.15756,0.17822000000000002,0.19078,0.20461999999999997,0.21624000000000004,0.22476,0.23346,0.24173999999999998,0.24954,0.20056599999999997,0.0016899864839999997
100,0.075,0.01,Identity,,,,0.3884,0.38248,0.375,0.36872,0.36006,0.35550000000000004,0.35185999999999995,0.34918,0.34612,0.34275999999999995,0.362008,0.00022660857600000035,0.32295999999999997,0.33354000000000006,0.33934,0.34596,0.35034,0.35619999999999996,0.36154,0.36760000000000004,0.3735,0.37956,0.353054,0.00029463120400000017
100,0.075,0.01,Sigmoid,,,,0.13357999999999998,0.18942,0.21589999999999998,0.2286,0.24123999999999998,0.24889999999999998,0.25328,0.25637999999999994,0.25926,0.26176000000000005,0.22883199999999998,0.0014716936160000002,0.10874000000000002,0.15756,0.17822000000000002,0.19078,0.20461999999999997,0.21624000000000004,0.22476,0.23346,0.24173999999999998,0.24954,0.20056599999999997,0.0016899864839999997
100,0.075,0.1,Identity,,,,0.39076000000000005,0.38308,0.37618,0.36828,0.3597,0.3559,0.35296,0.3499,0.34643999999999997,0.34323999999999993,0.36264399999999997,0.00023725502400000063,0.32531999999999994,0.33486000000000005,0.34019999999999995,0.34588,0.35058,0.3566,0.3624,0.36838000000000004,0.374,0.38001999999999997,0.35382399999999997,0.0002817787840000002
100,0.075,0.1,Sigmoid,,,,0.13357999999999998,0.18942,0.21589999999999998,0.2286,0.24123999999999998,0.24889999999999998,0.25328,0.25637999999999994,0.25926,0.26176000000000005,0.22883199999999998,0.0014716936160000002,0.10874000000000002,0.15756,0.17822000000000002,0.19078,0.20461999999999997,0.21624000000000004,0.22476,0.23346,0.24173999999999998,0.24954,0.20056599999999997,0.0016899864839999997
