Algorithm: AdaRank-MAP
Dataset:   MQ2007

Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.4425	0.4412	0.4442	0.4425	0.4491	0.4517	0.4552	0.4573	0.4616	0.4665	0.5182
Fold2	0.3746	0.3724	0.3816	0.3898	0.3961	0.4010	0.4062	0.4131	0.4172	0.4217	0.4756
Fold3	0.3825	0.3968	0.4103	0.4172	0.4188	0.4224	0.4260	0.4307	0.4356	0.4415	0.4992
Fold4	0.3392	0.3574	0.3651	0.3672	0.3739	0.3806	0.3842	0.3934	0.4004	0.4065	0.4636
Fold5	0.3717	0.3820	0.3910	0.3951	0.3972	0.4006	0.4054	0.4142	0.4240	0.4311	0.4891
average	0.3821	0.3900	0.3984	0.4024	0.4070	0.4113	0.4154	0.4217	0.4278	0.4335	0.4891

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.4940	0.4673	0.4554	0.4382	0.4339	0.4206	0.4073	0.3973	0.3919	0.3884	0.4817
Fold2	0.4336	0.4189	0.4258	0.4233	0.4183	0.4090	0.4020	0.3997	0.3917	0.3867	0.4510
Fold3	0.4395	0.4263	0.4159	0.4086	0.3965	0.3850	0.3810	0.3728	0.3664	0.3617	0.4579
Fold4	0.4041	0.4130	0.4061	0.3945	0.3876	0.3815	0.3717	0.3706	0.3681	0.3614	0.4363
Fold5	0.4248	0.4248	0.4120	0.3982	0.3906	0.3805	0.3746	0.3709	0.3727	0.3708	0.4618
average	0.4392	0.4301	0.4230	0.4126	0.4054	0.3953	0.3873	0.3823	0.3782	0.3738	0.4577

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3933	0.4041	0.4135	0.4173	0.4193	0.4255	0.4322	0.4369	0.4406	0.4474	0.5033
Fold2	0.4266	0.4340	0.4408	0.4394	0.4455	0.4503	0.4546	0.4581	0.4640	0.4665	0.5165
Fold3	0.3756	0.3732	0.3836	0.3930	0.3981	0.4051	0.4075	0.4139	0.4193	0.4249	0.4772
Fold4	0.4002	0.3970	0.4033	0.4090	0.4129	0.4196	0.4222	0.4265	0.4327	0.4383	0.4970
Fold5	0.3441	0.3520	0.3665	0.3702	0.3740	0.3796	0.3815	0.3913	0.4000	0.4040	0.4626
average	0.3880	0.3921	0.4015	0.4058	0.4100	0.4160	0.4196	0.4253	0.4313	0.4362	0.4913

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.4484	0.4410	0.4346	0.4218	0.4106	0.4041	0.3974	0.3897	0.3822	0.3782	0.4717
Fold2	0.4821	0.4628	0.4544	0.4405	0.4327	0.4216	0.4116	0.4022	0.3985	0.3920	0.4859
Fold3	0.4307	0.4218	0.4267	0.4248	0.4189	0.4125	0.4029	0.3986	0.3910	0.3873	0.4523
Fold4	0.4749	0.4307	0.4120	0.4034	0.3947	0.3869	0.3780	0.3713	0.3661	0.3602	0.4594
Fold5	0.4130	0.4086	0.4120	0.3990	0.3888	0.3810	0.3687	0.3680	0.3684	0.3599	0.4372
average	0.4498	0.4330	0.4279	0.4179	0.4091	0.4012	0.3917	0.3860	0.3812	0.3755	0.4613

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3782	0.3851	0.3926	0.3976	0.4032	0.4089	0.4134	0.4172	0.4214	0.4272	0.4837
Fold2	0.3854	0.3989	0.4057	0.4097	0.4119	0.4167	0.4220	0.4266	0.4312	0.4375	0.4943
Fold3	0.3922	0.3995	0.4022	0.4064	0.4116	0.4183	0.4232	0.4279	0.4340	0.4398	0.4947
Fold4	0.3767	0.3886	0.3977	0.4010	0.4052	0.4112	0.4183	0.4249	0.4309	0.4366	0.4910
Fold5	0.3807	0.3907	0.3989	0.4041	0.4083	0.4144	0.4196	0.4261	0.4306	0.4370	0.4920
average	0.3826	0.3926	0.3994	0.4038	0.4080	0.4139	0.4193	0.4245	0.4296	0.4356	0.4911

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.4405	0.4277	0.4222	0.4132	0.4039	0.3979	0.3887	0.3813	0.3736	0.3694	0.4504
Fold2	0.4464	0.4376	0.4261	0.4125	0.4008	0.3930	0.3861	0.3791	0.3716	0.3666	0.4583
Fold3	0.4507	0.4393	0.4244	0.4135	0.4045	0.3991	0.3929	0.3849	0.3796	0.3754	0.4644
Fold4	0.4339	0.4329	0.4274	0.4152	0.4079	0.3992	0.3945	0.3907	0.3871	0.3822	0.4647
Fold5	0.4477	0.4324	0.4250	0.4157	0.4077	0.3989	0.3931	0.3873	0.3818	0.3773	0.4628
average	0.4438	0.4340	0.4250	0.4140	0.4050	0.3976	0.3911	0.3847	0.3787	0.3742	0.4601

