Algorithm: AdaRank-NDCG
Dataset:   MQ2008

Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3590	0.4188	0.4282	0.4511	0.4712	0.4797	0.4847	0.4343	0.2087	0.2139	0.4770
Fold2	0.3312	0.3588	0.3836	0.4053	0.4200	0.4405	0.4422	0.4261	0.1714	0.1751	0.4362
Fold3	0.3715	0.3907	0.4082	0.4368	0.4503	0.4666	0.4693	0.4525	0.2441	0.2464	0.4756
Fold4	0.4437	0.4777	0.5005	0.5198	0.5374	0.5475	0.5519	0.4977	0.2935	0.2943	0.5504
Fold5	0.4076	0.4597	0.4893	0.5136	0.5318	0.5397	0.5484	0.5073	0.2172	0.2236	0.5360
average	0.3826	0.4211	0.4420	0.4653	0.4821	0.4948	0.4993	0.4636	0.2270	0.2307	0.4950

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.4359	0.4231	0.3889	0.3654	0.3449	0.3109	0.2839	0.2684	0.2493	0.2346	0.4638
Fold2	0.4076	0.3631	0.3376	0.3217	0.3057	0.2919	0.2702	0.2516	0.2357	0.2242	0.4353
Fold3	0.4268	0.3917	0.3609	0.3455	0.3172	0.2983	0.2784	0.2627	0.2456	0.2293	0.4560
Fold4	0.5159	0.4873	0.4607	0.4268	0.4025	0.3822	0.3594	0.3328	0.3128	0.2898	0.5366
Fold5	0.4713	0.4459	0.4268	0.3885	0.3567	0.3301	0.3048	0.2818	0.2654	0.2490	0.5201
average	0.4515	0.4222	0.3950	0.3696	0.3454	0.3227	0.2993	0.2795	0.2618	0.2454	0.4824

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.4374	0.4634	0.4818	0.5024	0.5290	0.5411	0.5476	0.5109	0.2157	0.2217	0.5397
Fold2	0.3419	0.4038	0.4253	0.4479	0.4685	0.4752	0.4857	0.4347	0.2114	0.2147	0.4729
Fold3	0.3270	0.3689	0.3867	0.4024	0.4183	0.4381	0.4421	0.4292	0.1722	0.1741	0.4353
Fold4	0.4055	0.3769	0.4069	0.4325	0.4533	0.4651	0.4660	0.4510	0.2439	0.2469	0.4748
Fold5	0.4544	0.4857	0.5081	0.5251	0.5461	0.5515	0.5540	0.4996	0.2877	0.2931	0.5583
average	0.3932	0.4197	0.4418	0.4621	0.4830	0.4942	0.4991	0.4651	0.2262	0.2301	0.4962

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.5096	0.4490	0.4119	0.3742	0.3554	0.3312	0.3066	0.2866	0.2675	0.2510	0.5269
Fold2	0.4103	0.4103	0.3825	0.3654	0.3462	0.3109	0.2894	0.2724	0.2528	0.2378	0.4622
Fold3	0.3949	0.3726	0.3397	0.3185	0.3032	0.2898	0.2702	0.2540	0.2357	0.2217	0.4279
Fold4	0.4650	0.3917	0.3673	0.3471	0.3274	0.3025	0.2821	0.2659	0.2477	0.2312	0.4653
Fold5	0.5350	0.5000	0.4671	0.4283	0.4064	0.3843	0.3585	0.3328	0.3079	0.2898	0.5488
average	0.4630	0.4247	0.3937	0.3667	0.3477	0.3237	0.3014	0.2823	0.2623	0.2463	0.4862

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3638	0.4023	0.4257	0.4484	0.4676	0.4807	0.4842	0.4557	0.2348	0.2378	0.4829
Fold2	0.4098	0.4407	0.4643	0.4878	0.5063	0.5211	0.5243	0.4878	0.2553	0.2575	0.5207
Fold3	0.4043	0.4463	0.4635	0.4926	0.5083	0.5213	0.5255	0.4784	0.2384	0.2420	0.5187
Fold4	0.3589	0.4005	0.4250	0.4513	0.4670	0.4806	0.4866	0.4494	0.1942	0.1982	0.4766
Fold5	0.3298	0.3557	0.3817	0.4066	0.4300	0.4451	0.4505	0.4235	0.1982	0.2017	0.4447
average	0.3733	0.4091	0.4320	0.4573	0.4758	0.4898	0.4942	0.4590	0.2242	0.2274	0.4887

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.4289	0.4108	0.3829	0.3604	0.3431	0.3217	0.3015	0.2826	0.2647	0.2488	0.4677
Fold2	0.4777	0.4480	0.4154	0.3869	0.3622	0.3408	0.3170	0.2954	0.2781	0.2586	0.5052
Fold3	0.4766	0.4479	0.4128	0.3926	0.3647	0.3408	0.3146	0.2947	0.2759	0.2589	0.5051
Fold4	0.4213	0.4000	0.3752	0.3574	0.3323	0.3099	0.2869	0.2676	0.2504	0.2349	0.4659
Fold5	0.3894	0.3617	0.3496	0.3340	0.3196	0.2975	0.2781	0.2614	0.2442	0.2296	0.4375
average	0.4388	0.4137	0.3872	0.3663	0.3444	0.3221	0.2996	0.2803	0.2627	0.2462	0.4763

