Algorithm: BordaCount
Dataset:   MQ2008-agg

Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.2137	0.2553	0.2877	0.3372	0.3652	0.3802	0.3877	0.3493	0.1617	0.1679	0.3668
Fold2	0.2059	0.2787	0.3032	0.3227	0.3477	0.3670	0.3751	0.3633	0.1239	0.1287	0.3628
Fold3	0.1847	0.2266	0.2594	0.2907	0.3185	0.3344	0.3486	0.3363	0.1581	0.1646	0.3513
Fold4	0.2930	0.3206	0.3373	0.3807	0.4023	0.4189	0.4299	0.3926	0.1990	0.2034	0.4336
Fold5	0.2866	0.3217	0.3524	0.3846	0.4229	0.4436	0.4548	0.4204	0.1788	0.1825	0.4329
average	0.2368	0.2806	0.3080	0.3432	0.3713	0.3888	0.3992	0.3724	0.1643	0.1694	0.3895

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.2821	0.2853	0.2906	0.3045	0.2962	0.2767	0.2573	0.2412	0.2279	0.2154	0.3858
Fold2	0.2611	0.3025	0.2845	0.2787	0.2713	0.2580	0.2448	0.2301	0.2151	0.2032	0.3664
Fold3	0.2229	0.2452	0.2442	0.2548	0.2510	0.2410	0.2320	0.2213	0.2123	0.2032	0.3430
Fold4	0.3439	0.3439	0.3248	0.3376	0.3299	0.3259	0.3094	0.2946	0.2803	0.2624	0.4325
Fold5	0.3758	0.3439	0.3248	0.3121	0.3032	0.2898	0.2775	0.2643	0.2477	0.2306	0.4448
average	0.2972	0.3042	0.2938	0.2975	0.2903	0.2783	0.2642	0.2503	0.2367	0.2230	0.3945

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.2866	0.3217	0.3524	0.3846	0.4229	0.4436	0.4548	0.4204	0.1788	0.1825	0.4329
Fold2	0.2137	0.2553	0.2877	0.3372	0.3652	0.3802	0.3877	0.3493	0.1617	0.1679	0.3668
Fold3	0.2059	0.2787	0.3032	0.3227	0.3477	0.3670	0.3751	0.3633	0.1239	0.1287	0.3628
Fold4	0.1847	0.2266	0.2594	0.2907	0.3185	0.3344	0.3486	0.3363	0.1581	0.1646	0.3513
Fold5	0.2930	0.3206	0.3373	0.3807	0.4023	0.4189	0.4299	0.3926	0.1990	0.2034	0.4336
average	0.2368	0.2806	0.3080	0.3432	0.3713	0.3888	0.3992	0.3724	0.1643	0.1694	0.3895

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.3758	0.3439	0.3248	0.3121	0.3032	0.2898	0.2775	0.2643	0.2477	0.2306	0.4448
Fold2	0.2821	0.2853	0.2906	0.3045	0.2962	0.2767	0.2573	0.2412	0.2279	0.2154	0.3858
Fold3	0.2611	0.3025	0.2845	0.2787	0.2713	0.2580	0.2448	0.2301	0.2151	0.2032	0.3664
Fold4	0.2229	0.2452	0.2442	0.2548	0.2510	0.2410	0.2320	0.2213	0.2123	0.2032	0.3430
Fold5	0.3439	0.3439	0.3248	0.3376	0.3299	0.3259	0.3094	0.2946	0.2803	0.2624	0.4325
average	0.2972	0.3042	0.2938	0.2975	0.2903	0.2783	0.2642	0.2503	0.2367	0.2230	0.3945

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.2279	0.2753	0.2999	0.3314	0.3561	0.3734	0.3845	0.3641	0.1603	0.1656	0.3826
Fold2	0.2548	0.2896	0.3164	0.3520	0.3812	0.3990	0.4111	0.3831	0.1786	0.1835	0.4059
Fold3	0.2645	0.2993	0.3259	0.3676	0.3968	0.4143	0.4242	0.3875	0.1798	0.1846	0.4112
Fold4	0.2355	0.2853	0.3145	0.3482	0.3786	0.3970	0.4059	0.3777	0.1548	0.1597	0.3875
Fold5	0.2014	0.2535	0.2834	0.3168	0.3437	0.3605	0.3704	0.3496	0.1478	0.1537	0.3603
average	0.2368	0.2806	0.3080	0.3432	0.3713	0.3888	0.3992	0.3724	0.1643	0.1694	0.3895

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.2760	0.2972	0.2845	0.2903	0.2841	0.2749	0.2621	0.2487	0.2359	0.2229	0.3806
Fold2	0.3142	0.3110	0.2979	0.3015	0.2947	0.2856	0.2730	0.2601	0.2468	0.2321	0.4068
Fold3	0.3340	0.3245	0.3135	0.3181	0.3098	0.2975	0.2815	0.2668	0.2520	0.2362	0.4211
Fold4	0.3064	0.3106	0.3000	0.2984	0.2902	0.2748	0.2599	0.2452	0.2303	0.2164	0.3990
Fold5	0.2553	0.2777	0.2730	0.2793	0.2728	0.2585	0.2447	0.2309	0.2184	0.2072	0.3650
average	0.2972	0.3042	0.2938	0.2975	0.2903	0.2783	0.2642	0.2503	0.2367	0.2230	0.3945

