Algorithm: CPS with Kendall's Tau
Dataset:   MQ2008-agg

Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.2265	0.2885	0.3243	0.3668	0.3909	0.4069	0.4171	0.3782	0.1744	0.1797	0.3974
Fold2	0.2251	0.2824	0.3211	0.3429	0.3565	0.3760	0.3881	0.3736	0.1298	0.1323	0.3786
Fold3	0.2038	0.2813	0.3089	0.3513	0.3649	0.3835	0.3970	0.3845	0.1932	0.1985	0.3957
Fold4	0.3100	0.3498	0.3730	0.4152	0.4334	0.4514	0.4684	0.4271	0.2318	0.2367	0.4662
Fold5	0.2951	0.3567	0.3944	0.4209	0.4510	0.4830	0.4963	0.4526	0.1923	0.1986	0.4664
average	0.2521	0.3117	0.3443	0.3794	0.3993	0.4202	0.4334	0.4032	0.1843	0.1892	0.4209

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.2821	0.3109	0.3120	0.3205	0.3064	0.2895	0.2701	0.2540	0.2372	0.2250	0.4107
Fold2	0.2803	0.3025	0.3057	0.2946	0.2739	0.2633	0.2520	0.2365	0.2222	0.2096	0.3841
Fold3	0.2548	0.2866	0.2824	0.2850	0.2662	0.2569	0.2493	0.2373	0.2258	0.2127	0.3783
Fold4	0.3567	0.3726	0.3631	0.3678	0.3503	0.3471	0.3348	0.3121	0.2944	0.2752	0.4606
Fold5	0.3885	0.3694	0.3524	0.3424	0.3274	0.3174	0.3003	0.2771	0.2555	0.2395	0.4757
average	0.3125	0.3284	0.3231	0.3221	0.3048	0.2948	0.2813	0.2634	0.2470	0.2324	0.4219

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.2930	0.3567	0.3944	0.4204	0.4488	0.4815	0.4930	0.4519	0.1912	0.1982	0.4652
Fold2	0.2479	0.2804	0.3213	0.3594	0.3874	0.4015	0.4125	0.3743	0.1751	0.1803	0.3929
Fold3	0.2251	0.2834	0.3215	0.3416	0.3577	0.3755	0.3893	0.3746	0.1285	0.1324	0.3788
Fold4	0.2102	0.2744	0.3048	0.3397	0.3625	0.3786	0.3891	0.3740	0.1851	0.1932	0.3916
Fold5	0.3121	0.3498	0.3746	0.4158	0.4366	0.4561	0.4707	0.4295	0.2331	0.2395	0.4672
average	0.2577	0.3089	0.3433	0.3754	0.3986	0.4186	0.4309	0.4009	0.1826	0.1887	0.4191

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.3822	0.3694	0.3524	0.3408	0.3236	0.3163	0.2994	0.2763	0.2548	0.2401	0.4735
Fold2	0.3205	0.3077	0.3226	0.3189	0.3090	0.2885	0.2701	0.2564	0.2379	0.2256	0.4134
Fold3	0.2803	0.3057	0.3057	0.2930	0.2764	0.2622	0.2539	0.2389	0.2222	0.2089	0.3846
Fold4	0.2611	0.2834	0.2781	0.2787	0.2675	0.2537	0.2429	0.2325	0.2208	0.2115	0.3769
Fold5	0.3631	0.3662	0.3631	0.3678	0.3567	0.3503	0.3367	0.3105	0.2923	0.2758	0.4621
average	0.3214	0.3265	0.3244	0.3198	0.3066	0.2942	0.2806	0.2629	0.2456	0.2324	0.4221

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.2463	0.3057	0.3290	0.3627	0.3820	0.4009	0.4158	0.3916	0.1815	0.1872	0.4105
Fold2	0.2795	0.3381	0.3649	0.4015	0.4225	0.4428	0.4559	0.4253	0.2075	0.2134	0.4479
Fold3	0.2908	0.3401	0.3686	0.4080	0.4330	0.4512	0.4626	0.4224	0.2015	0.2076	0.4483
Fold4	0.2525	0.3154	0.3454	0.3760	0.3982	0.4227	0.4347	0.4014	0.1644	0.1709	0.4145
Fold5	0.2227	0.2840	0.3123	0.3479	0.3685	0.3874	0.3982	0.3752	0.1622	0.1693	0.3887
average	0.2584	0.3167	0.3440	0.3792	0.4008	0.4210	0.4334	0.4032	0.1834	0.1897	0.4220

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.2972	0.3227	0.3128	0.3110	0.2981	0.2866	0.2772	0.2604	0.2460	0.2325	0.4049
Fold2	0.3418	0.3514	0.3362	0.3328	0.3168	0.3061	0.2930	0.2755	0.2588	0.2435	0.4404
Fold3	0.3617	0.3606	0.3489	0.3473	0.3328	0.3191	0.3000	0.2811	0.2626	0.2472	0.4523
Fold4	0.3149	0.3372	0.3213	0.3170	0.3017	0.2897	0.2736	0.2548	0.2371	0.2253	0.4228
Fold5	0.2766	0.3032	0.2957	0.2963	0.2830	0.2691	0.2550	0.2404	0.2270	0.2170	0.3900
average	0.3184	0.3350	0.3230	0.3209	0.3065	0.2941	0.2798	0.2624	0.2463	0.2331	0.4221

