Algorithm: CPS with Spearman's Footrule
Dataset:   MQ2007-agg

Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.2708	0.3147	0.3189	0.3208	0.3274	0.3331	0.3377	0.3431	0.3509	0.3574	0.4227
Fold2	0.2724	0.2869	0.2999	0.3128	0.3159	0.3200	0.3268	0.3319	0.3388	0.3460	0.4064
Fold3	0.2802	0.3144	0.3167	0.3244	0.3276	0.3310	0.3388	0.3451	0.3497	0.3563	0.4191
Fold4	0.2763	0.2746	0.2796	0.2875	0.2964	0.3045	0.3130	0.3188	0.3271	0.3330	0.3926
Fold5	0.2635	0.3016	0.3040	0.3121	0.3181	0.3257	0.3341	0.3399	0.3436	0.3499	0.4063
average	0.2726	0.2984	0.3038	0.3115	0.3171	0.3229	0.3301	0.3358	0.3420	0.3485	0.4094

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.3363	0.3601	0.3522	0.3438	0.3423	0.3413	0.3359	0.3337	0.3376	0.3378	0.3973
Fold2	0.3333	0.3510	0.3599	0.3665	0.3605	0.3540	0.3523	0.3507	0.3507	0.3522	0.3956
Fold3	0.3392	0.3540	0.3451	0.3437	0.3404	0.3353	0.3397	0.3374	0.3333	0.3298	0.3887
Fold4	0.3451	0.3348	0.3235	0.3237	0.3251	0.3269	0.3283	0.3249	0.3209	0.3198	0.3780
Fold5	0.3363	0.3628	0.3559	0.3584	0.3534	0.3500	0.3502	0.3459	0.3396	0.3372	0.3893
average	0.3380	0.3525	0.3473	0.3472	0.3443	0.3415	0.3413	0.3385	0.3364	0.3354	0.3898

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.2665	0.3024	0.3063	0.3130	0.3174	0.3264	0.3334	0.3394	0.3433	0.3501	0.4105
Fold2	0.2708	0.3147	0.3189	0.3211	0.3273	0.3333	0.3379	0.3432	0.3509	0.3577	0.4227
Fold3	0.2724	0.2888	0.2992	0.3104	0.3124	0.3168	0.3247	0.3309	0.3388	0.3449	0.4028
Fold4	0.2802	0.3144	0.3167	0.3244	0.3276	0.3310	0.3388	0.3451	0.3497	0.3563	0.4191
Fold5	0.2763	0.2746	0.2796	0.2875	0.2964	0.3045	0.3130	0.3188	0.3271	0.3330	0.3926
average	0.2732	0.2990	0.3041	0.3113	0.3162	0.3224	0.3296	0.3355	0.3420	0.3484	0.4095

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.3392	0.3628	0.3579	0.3569	0.3499	0.3491	0.3472	0.3433	0.3382	0.3366	0.3915
Fold2	0.3363	0.3601	0.3522	0.3445	0.3423	0.3423	0.3363	0.3344	0.3383	0.3387	0.3976
Fold3	0.3333	0.3510	0.3599	0.3650	0.3581	0.3540	0.3540	0.3529	0.3533	0.3528	0.3924
Fold4	0.3392	0.3540	0.3451	0.3437	0.3404	0.3353	0.3397	0.3374	0.3333	0.3298	0.3887
Fold5	0.3451	0.3348	0.3235	0.3237	0.3251	0.3269	0.3283	0.3249	0.3209	0.3198	0.3780
average	0.3386	0.3525	0.3477	0.3468	0.3432	0.3415	0.3411	0.3386	0.3368	0.3355	0.3896

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.2776	0.2933	0.3012	0.3106	0.3146	0.3196	0.3272	0.3326	0.3387	0.3450	0.4075
Fold2	0.2747	0.2990	0.3034	0.3106	0.3156	0.3223	0.3294	0.3348	0.3398	0.3460	0.4087
Fold3	0.2682	0.2950	0.2993	0.3055	0.3124	0.3197	0.3266	0.3325	0.3392	0.3456	0.4059
Fold4	0.2669	0.2997	0.3058	0.3131	0.3178	0.3238	0.3306	0.3365	0.3431	0.3495	0.4094
Fold5	0.2725	0.3040	0.3101	0.3173	0.3210	0.3255	0.3321	0.3383	0.3452	0.3517	0.4137
average	0.2720	0.2982	0.3040	0.3114	0.3163	0.3222	0.3292	0.3349	0.3412	0.3476	0.4090

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.3412	0.3486	0.3468	0.3483	0.3438	0.3402	0.3416	0.3380	0.3348	0.3337	0.3883
Fold2	0.3422	0.3530	0.3458	0.3446	0.3406	0.3394	0.3395	0.3348	0.3298	0.3279	0.3868
Fold3	0.3373	0.3506	0.3425	0.3407	0.3389	0.3379	0.3366	0.3338	0.3321	0.3310	0.3873
Fold4	0.3333	0.3560	0.3547	0.3545	0.3499	0.3470	0.3452	0.3432	0.3430	0.3420	0.3921
Fold5	0.3343	0.3531	0.3511	0.3496	0.3456	0.3420	0.3416	0.3404	0.3409	0.3395	0.3919
average	0.3377	0.3523	0.3482	0.3475	0.3438	0.3413	0.3409	0.3380	0.3361	0.3348	0.3893

