Algorithm: CPS with Spearman's Rank Correlation
Dataset:   MQ2008-agg

Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.2009	0.2847	0.3170	0.3639	0.3886	0.4054	0.4160	0.3690	0.1741	0.1779	0.3887
Fold2	0.2251	0.2659	0.3019	0.3232	0.3404	0.3621	0.3689	0.3628	0.1259	0.1285	0.3544
Fold3	0.2208	0.2389	0.2788	0.3091	0.3311	0.3556	0.3675	0.3552	0.1776	0.1820	0.3578
Fold4	0.3206	0.3832	0.4084	0.4380	0.4620	0.4736	0.4820	0.4348	0.2389	0.2425	0.4763
Fold5	0.3588	0.3965	0.4236	0.4473	0.4799	0.4992	0.5054	0.4656	0.1977	0.2011	0.4860
average	0.2652	0.3138	0.3459	0.3763	0.4004	0.4192	0.4280	0.3975	0.1828	0.1864	0.4126

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.2692	0.3045	0.3098	0.3157	0.3026	0.2863	0.2656	0.2484	0.2336	0.2199	0.3948
Fold2	0.2548	0.2675	0.2760	0.2659	0.2599	0.2516	0.2357	0.2261	0.2095	0.1955	0.3548
Fold3	0.2548	0.2516	0.2739	0.2755	0.2675	0.2654	0.2502	0.2341	0.2194	0.2045	0.3496
Fold4	0.3631	0.3981	0.3864	0.3758	0.3656	0.3535	0.3312	0.3129	0.2895	0.2713	0.4624
Fold5	0.4395	0.3917	0.3673	0.3503	0.3363	0.3153	0.2930	0.2755	0.2541	0.2357	0.4893
average	0.3163	0.3227	0.3227	0.3166	0.3064	0.2944	0.2751	0.2594	0.2412	0.2254	0.4102

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3546	0.3949	0.4241	0.4437	0.4723	0.4958	0.5032	0.4647	0.1972	0.2008	0.4839
Fold2	0.2201	0.2644	0.2977	0.3238	0.3543	0.3779	0.3956	0.3516	0.1621	0.1652	0.3685
Fold3	0.2335	0.2840	0.3104	0.3278	0.3526	0.3707	0.3772	0.3673	0.1307	0.1338	0.3635
Fold4	0.2251	0.2495	0.2812	0.3149	0.3387	0.3632	0.3756	0.3603	0.1814	0.1886	0.3729
Fold5	0.3291	0.3885	0.4115	0.4453	0.4640	0.4787	0.4861	0.4364	0.2420	0.2463	0.4807
average	0.2725	0.3163	0.3450	0.3711	0.3964	0.4173	0.4275	0.3961	0.1827	0.1869	0.4139

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.4395	0.3885	0.3652	0.3439	0.3299	0.3121	0.2921	0.2755	0.2541	0.2363	0.4876
Fold2	0.2756	0.2853	0.2906	0.2853	0.2846	0.2735	0.2582	0.2396	0.2258	0.2109	0.3728
Fold3	0.2675	0.2834	0.2824	0.2723	0.2662	0.2527	0.2384	0.2261	0.2137	0.2000	0.3603
Fold4	0.2675	0.2548	0.2696	0.2675	0.2701	0.2633	0.2520	0.2412	0.2272	0.2172	0.3621
Fold5	0.3758	0.3981	0.3885	0.3854	0.3631	0.3567	0.3339	0.3113	0.2887	0.2726	0.4663
average	0.3252	0.3220	0.3193	0.3109	0.3028	0.2917	0.2749	0.2587	0.2419	0.2274	0.4098

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.2534	0.3080	0.3376	0.3652	0.3921	0.4071	0.4177	0.3919	0.1851	0.1899	0.4088
Fold2	0.2682	0.3241	0.3458	0.3726	0.3985	0.4189	0.4306	0.3994	0.1928	0.1980	0.4185
Fold3	0.2950	0.3365	0.3662	0.3930	0.4201	0.4377	0.4510	0.4075	0.1943	0.2004	0.4336
Fold4	0.2695	0.3211	0.3527	0.3861	0.4102	0.4280	0.4369	0.4039	0.1683	0.1727	0.4164
Fold5	0.2284	0.2745	0.3123	0.3446	0.3691	0.3850	0.3959	0.3718	0.1642	0.1696	0.3822
average	0.2629	0.3128	0.3429	0.3723	0.3980	0.4153	0.4264	0.3949	0.1809	0.1861	0.4119

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.2972	0.3142	0.3163	0.3110	0.3074	0.2958	0.2812	0.2641	0.2463	0.2323	0.4007
Fold2	0.3248	0.3312	0.3227	0.3100	0.3028	0.2944	0.2806	0.2651	0.2486	0.2344	0.4098
Fold3	0.3574	0.3500	0.3418	0.3335	0.3217	0.3060	0.2906	0.2734	0.2572	0.2428	0.4328
Fold4	0.3362	0.3309	0.3227	0.3186	0.3051	0.2904	0.2711	0.2527	0.2345	0.2204	0.4198
Fold5	0.2809	0.2872	0.2986	0.2947	0.2889	0.2723	0.2578	0.2434	0.2277	0.2157	0.3802
average	0.3193	0.3227	0.3204	0.3136	0.3052	0.2918	0.2763	0.2597	0.2429	0.2291	0.4087

