Algorithm: RankBoost
Dataset:   MQ2008

Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3846	0.4177	0.4328	0.4585	0.4709	0.4813	0.4967	0.4425	0.2145	0.2176	0.4798
Fold2	0.3609	0.3572	0.3801	0.3952	0.4146	0.4353	0.4388	0.4231	0.1659	0.1695	0.4344
Fold3	0.3694	0.3461	0.3710	0.3975	0.4161	0.4403	0.4442	0.4324	0.2322	0.2340	0.4550
Fold4	0.4225	0.4528	0.5040	0.5100	0.5291	0.5367	0.5428	0.4949	0.2852	0.2892	0.5438
Fold5	0.3907	0.4225	0.4560	0.4782	0.5025	0.5146	0.5267	0.4911	0.2094	0.2170	0.5118
average	0.3856	0.3993	0.4288	0.4479	0.4666	0.4816	0.4898	0.4568	0.2214	0.2255	0.4850

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.4487	0.4135	0.3910	0.3686	0.3410	0.3141	0.2985	0.2796	0.2585	0.2417	0.4666
Fold2	0.4204	0.3662	0.3397	0.3185	0.3032	0.2898	0.2702	0.2548	0.2378	0.2255	0.4380
Fold3	0.4331	0.3631	0.3439	0.3217	0.3019	0.2962	0.2784	0.2651	0.2484	0.2306	0.4472
Fold4	0.5159	0.4873	0.4777	0.4363	0.4115	0.3875	0.3649	0.3455	0.3185	0.2975	0.5342
Fold5	0.4713	0.4268	0.4055	0.3758	0.3439	0.3174	0.2985	0.2779	0.2626	0.2484	0.5016
average	0.4579	0.4114	0.3916	0.3642	0.3403	0.3210	0.3021	0.2846	0.2652	0.2487	0.4775

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3928	0.4581	0.4589	0.4973	0.5134	0.5291	0.5436	0.5085	0.2148	0.2195	0.5286
Fold2	0.3547	0.4274	0.4477	0.4619	0.4777	0.4890	0.4968	0.4432	0.2135	0.2198	0.4833
Fold3	0.3800	0.3700	0.3946	0.4132	0.4289	0.4470	0.4489	0.4302	0.1716	0.1747	0.4478
Fold4	0.3864	0.3726	0.3862	0.4257	0.4431	0.4546	0.4608	0.4415	0.2366	0.2409	0.4710
Fold5	0.4352	0.4602	0.4831	0.5047	0.5207	0.5315	0.5401	0.4922	0.2825	0.2867	0.5435
average	0.3898	0.4177	0.4341	0.4606	0.4768	0.4902	0.4980	0.4631	0.2238	0.2283	0.4948

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.4777	0.4618	0.3928	0.3774	0.3465	0.3227	0.3057	0.2858	0.2661	0.2510	0.5149
Fold2	0.4359	0.4199	0.4038	0.3766	0.3449	0.3152	0.2903	0.2700	0.2528	0.2397	0.4717
Fold3	0.4395	0.3726	0.3503	0.3264	0.3096	0.2909	0.2730	0.2572	0.2406	0.2268	0.4533
Fold4	0.4459	0.3854	0.3588	0.3439	0.3248	0.3015	0.2848	0.2659	0.2491	0.2350	0.4681
Fold5	0.5414	0.4968	0.4628	0.4331	0.4013	0.3800	0.3594	0.3360	0.3135	0.2924	0.5433
average	0.4681	0.4273	0.3937	0.3715	0.3454	0.3221	0.3026	0.2830	0.2644	0.2490	0.4903

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3638	0.3930	0.4307	0.4603	0.4720	0.4834	0.4864	0.4595	0.2360	0.2415	0.4869
Fold2	0.3822	0.4195	0.4463	0.4705	0.4901	0.5041	0.5105	0.4753	0.2456	0.2495	0.5080
Fold3	0.3979	0.4351	0.4606	0.4877	0.5051	0.5150	0.5223	0.4730	0.2403	0.2443	0.5130
Fold4	0.3816	0.4023	0.4205	0.4530	0.4717	0.4857	0.4916	0.4564	0.2016	0.2064	0.4797
Fold5	0.3695	0.3887	0.4072	0.4333	0.4517	0.4625	0.4675	0.4369	0.2107	0.2143	0.4664
average	0.3790	0.4077	0.4331	0.4610	0.4781	0.4901	0.4957	0.4602	0.2268	0.2312	0.4908

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.4501	0.4119	0.4006	0.3843	0.3546	0.3337	0.3127	0.2917	0.2725	0.2584	0.4764
Fold2	0.4628	0.4363	0.4098	0.3838	0.3605	0.3383	0.3145	0.2943	0.2760	0.2577	0.4971
Fold3	0.4745	0.4479	0.4241	0.4005	0.3749	0.3475	0.3231	0.3008	0.2816	0.2643	0.5035
Fold4	0.4426	0.4043	0.3787	0.3660	0.3413	0.3188	0.2967	0.2761	0.2574	0.2423	0.4734
Fold5	0.4234	0.3872	0.3610	0.3489	0.3294	0.3060	0.2848	0.2654	0.2513	0.2372	0.4567
average	0.4507	0.4175	0.3948	0.3767	0.3521	0.3289	0.3064	0.2857	0.2678	0.2520	0.4814

