
ltr4l1 : 0m3,246s
ltr4l2 : 0m3,527s
ltr4l3 : 0m3,225s
ltr4l4 : 0m3,556s
ltr4l5 : 0m3,209s
ltr4l6 : 0m3,532s
ltr4l7 : 0m3,234s
ltr4l8 : 0m3,487s
ltr4l9 : 0m3,235s
ltr4l10 : 0m3,493s
ltr4l11 : 0m3,283s
ltr4l12 : 0m3,625s
ltr4l13 : 0m13,386s
ltr4l14 : 0m14,545s
ltr4l15 : 0m13,261s
ltr4l16 : 0m14,571s
ltr4l17 : 0m13,221s
ltr4l18 : 0m14,572s
ltr4l19 : 0m13,358s
ltr4l20 : 0m14,814s
ltr4l21 : 0m13,397s
ltr4l22 : 0m14,593s
ltr4l23 : 0m13,399s
ltr4l24 : 0m14,756s
ltr4l25 : 0m25,726s
ltr4l26 : 0m28,784s
ltr4l27 : 0m25,502s
ltr4l28 : 0m28,279s
ltr4l29 : 0m25,868s
ltr4l30 : 0m28,499s
ltr4l31 : 0m25,429s
ltr4l32 : 0m28,266s
ltr4l33 : 0m26,022s
ltr4l34 : 0m28,556s
ltr4l35 : 0m25,645s
ltr4l36 : 0m28,274s
ltr4l37 : 0m21,186s
ltr4l38 : 1m9,774s
ltr4l39 : 0m24,823s
ltr4l40 : 1m31,240s
ltr4l41 : 0m22,501s
ltr4l42 : 1m14,066s
ltr4l43 : 0m20,802s
ltr4l44 : 1m5,567s
ltr4l45 : 0m25,065s
ltr4l46 : 1m22,535s
ltr4l47 : 0m22,680s
ltr4l48 : 1m14,911s
ltr4l49 : 0m21,286s
ltr4l50 : 1m10,153s
ltr4l51 : 0m24,897s
ltr4l52 : 1m27,428s
ltr4l53 : 0m22,379s
ltr4l54 : 1m17,037s
ltr4l55 : 0m21,344s
ltr4l56 : 1m4,411s
ltr4l57 : 0m25,173s
ltr4l58 : 1m21,218s
ltr4l59 : 0m22,588s
ltr4l60 : 1m10,997s
ltr4l61 : 0m21,164s
ltr4l62 : 1m10,376s
ltr4l63 : 0m25,350s
ltr4l64 : 1m36,977s
ltr4l65 : 0m22,454s
ltr4l66 : 1m18,402s
ltr4l67 : 0m21,213s
ltr4l68 : 1m5,731s
ltr4l69 : 0m25,178s
ltr4l70 : 1m22,442s
ltr4l71 : 0m22,910s
ltr4l72 : 1m14,748s
ltr4l73 : 0m21,230s
ltr4l74 : 1m10,034s
ltr4l75 : 0m24,790s
ltr4l76 : 1m20,275s
ltr4l77 : 0m23,997s
ltr4l78 : 1m17,520s
ltr4l79 : 0m20,726s
ltr4l80 : 1m7,552s
ltr4l81 : 0m25,085s
ltr4l82 : 1m20,688s
ltr4l83 : 0m25,180s
ltr4l84 : 1m22,066s
ltr4l85 : 0m21,119s
ltr4l86 : 1m8,546s
ltr4l87 : 0m24,893s
ltr4l88 : 1m20,147s
ltr4l89 : 0m24,394s
ltr4l90 : 1m12,194s
ltr4l91 : 0m20,691s
ltr4l92 : 1m5,034s
ltr4l93 : 0m25,197s
ltr4l94 : 1m21,749s
ltr4l95 : 0m25,054s
ltr4l96 : 1m21,249s
ltr4l97 : 0m21,114s
ltr4l98 : 1m8,560s
ltr4l99 : 0m24,986s
ltr4l100 : 1m20,250s
ltr4l101 : 0m24,530s
ltr4l102 : 1m21,240s
ltr4l103 : 0m20,659s
ltr4l104 : 1m5,974s
ltr4l105 : 0m25,035s
ltr4l106 : 1m18,833s
ltr4l107 : 0m23,525s
ltr4l108 : 1m17,766s
ltr4l109 : 1m45,101s
ltr4l110 : 5m48,449s
ltr4l111 : 3m48,698s
ltr4l112 : 16m27,530s
ltr4l113 : 1m53,629s
ltr4l114 : 6m24,071s
ltr4l115 : 1m42,006s
ltr4l116 : 5m18,381s
ltr4l117 : 2m4,726s
ltr4l118 : 6m55,175s
ltr4l119 : 1m55,144s
ltr4l120 : 6m18,663s
ltr4l121 : 1m45,305s
ltr4l122 : 6m0,454s
ltr4l123 : 3m20,472s
ltr4l124 : 16m34,190s
ltr4l125 : 1m53,398s
ltr4l126 : 6m28,758s
ltr4l127 : 1m39,162s
ltr4l128 : 5m20,773s
ltr4l129 : 2m4,865s
ltr4l130 : 6m53,356s
ltr4l131 : 1m50,173s
ltr4l132 : 6m0,889s
ltr4l133 : 1m47,508s
ltr4l134 : 5m47,704s
ltr4l135 : 3m51,134s
ltr4l136 : 16m39,311s
ltr4l137 : 1m53,207s
ltr4l138 : 6m30,880s
ltr4l139 : 1m39,249s
ltr4l140 : 5m22,682s
ltr4l141 : 2m4,848s
ltr4l142 : 6m51,440s
ltr4l143 : 1m48,397s
ltr4l144 : 5m52,872s
ltr4l145 : 1m45,194s
ltr4l146 : 5m57,521s
ltr4l147 : 2m3,510s
ltr4l148 : 6m53,892s
ltr4l149 : 2m3,300s
ltr4l150 : 6m23,870s
ltr4l151 : 1m42,369s
ltr4l152 : 5m30,536s
ltr4l153 : 2m4,908s
ltr4l154 : 6m40,118s
ltr4l155 : 2m5,607s
ltr4l156 : 6m19,584s
ltr4l157 : 1m45,134s
ltr4l158 : 5m55,468s
ltr4l159 : 2m3,743s
ltr4l160 : 6m46,866s
ltr4l161 : 2m3,363s
ltr4l162 : 6m14,499s
ltr4l163 : 1m42,690s
ltr4l164 : 5m51,385s
ltr4l165 : 2m4,859s
ltr4l166 : 6m51,429s
ltr4l167 : 2m5,721s
ltr4l168 : 6m26,471s
ltr4l169 : 1m45,090s
ltr4l170 : 6m1,374s
ltr4l171 : 2m3,593s
ltr4l172 : 7m6,055s
ltr4l173 : 1m54,986s
ltr4l174 : 6m49,162s
ltr4l175 : 1m42,534s
ltr4l176 : 5m30,728s
ltr4l177 : 2m4,953s
ltr4l178 : 6m44,569s
ltr4l179 : 1m57,493s
ltr4l180 : 7m18,540s
ltr4l181 : 3m30,444s
ltr4l182 : 11m51,958s
ltr4l183 : 9m36,359s
ltr4l184 : 34m32,803s
ltr4l185 : 3m48,798s
ltr4l186 : 13m10,863s
ltr4l187 : 3m21,912s
ltr4l188 : 10m56,228s
ltr4l189 : 4m8,752s
ltr4l190 : 13m54,815s
ltr4l191 : 3m37,859s
ltr4l192 : 12m8,086s
ltr4l193 : 3m35,098s
ltr4l194 : 11m53,921s
ltr4l195 : 9m25,512s
ltr4l196 : 34m59,650s
ltr4l197 : 3m38,798s
ltr4l198 : 12m48,809s
ltr4l199 : 3m21,903s
ltr4l200 : 10m54,748s
ltr4l201 : 4m9,950s
ltr4l202 : 14m2,329s
ltr4l203 : 3m34,286s
ltr4l204 : 12m22,352s
ltr4l205 : 3m29,801s
ltr4l206 : 11m33,378s
ltr4l207 : 8m36,624s
ltr4l208 : 34m44,857s
ltr4l209 : 3m42,402s
ltr4l210 : 13m9,916s
ltr4l211 : 3m16,654s
ltr4l212 : 10m57,908s
ltr4l213 : 4m9,321s
ltr4l214 : 13m55,799s
ltr4l215 : 3m38,114s
ltr4l216 : 12m21,889s
ltr4l217 : 3m34,732s
ltr4l218 : 12m12,187s
ltr4l219 : 4m6,824s
ltr4l220 : 13m51,607s
ltr4l221 : 3m50,028s
