epochs,learning_rate,momemtum,activation,inner_act,number_layers,number_neurons,dropout,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,0.3,sigmoid,,,,,0.4038,0.3942,0.3782,0.3542,0.3385,0.3098,0.2848,0.266,0.2464,0.234,0.32099,0.0034489448999999992,0.3397,0.3884,0.4133,0.4353,0.4589,0.4725,0.4796,0.4312,0.2105,0.216,0.38454,0.0088604824
500,0.001,0.3,linear,,,,,0.4167,0.4071,0.3953,0.3766,0.3474,0.3173,0.293,0.2756,0.255,0.2423,0.33263000000000004,0.0037936481,0.3483,0.3921,0.4221,0.4443,0.4638,0.4735,0.4825,0.4334,0.2115,0.2182,0.38897,0.0089947581
500,0.001,0.5,sigmoid,,,,,0.4231,0.391,0.3761,0.3526,0.3385,0.312,0.2866,0.266,0.2486,0.2346,0.32291000000000003,0.0036624828999999998,0.3547,0.3787,0.4123,0.433,0.4556,0.4713,0.4802,0.4296,0.2123,0.2166,0.38443,0.0085671921
500,0.001,0.5,linear,,,,,0.4231,0.4071,0.3953,0.3782,0.3487,0.3173,0.293,0.2756,0.2571,0.2417,0.33370999999999995,0.0039012348999999994,0.3504,0.3921,0.4228,0.4455,0.4637,0.4745,0.4827,0.4335,0.214,0.2184,0.38976,0.0089208124
500,0.075,0.3,sigmoid,,,,,0.4295,0.4231,0.3932,0.3782,0.35,0.3194,0.2976,0.2748,0.2543,0.241,0.33611,0.004277266899999999,0.3568,0.4151,0.43,0.4581,0.4712,0.4808,0.4948,0.4408,0.2135,0.2203,0.39814,0.009565936400000002
500,0.075,0.3,linear,,,,,0.3974,0.4006,0.3761,0.3638,0.3449,0.3141,0.2921,0.2708,0.255,0.241,0.32558000000000004,0.0031561276,0.3248,0.3713,0.3961,0.4267,0.4442,0.4561,0.4703,0.4187,0.2077,0.2132,0.37290999999999996,0.0082134309
500,0.075,0.5,sigmoid,,,,,0.4295,0.4199,0.3953,0.3766,0.3513,0.3205,0.2967,0.2764,0.2543,0.2404,0.33609000000000006,0.004233146899999999,0.3568,0.4129,0.4299,0.4569,0.4709,0.4828,0.494,0.4406,0.2128,0.2177,0.39753000000000005,0.009674740099999999
500,0.075,0.5,linear,,,,,0.3974,0.4006,0.3846,0.3654,0.3436,0.313,0.293,0.27,0.2536,0.2397,0.32609,0.0033042569,0.3205,0.3819,0.4098,0.4318,0.4485,0.4588,0.4775,0.4217,0.2087,0.2142,0.37734,0.008602454399999999
1000,0.001,0.3,sigmoid,,,,,0.4167,0.3942,0.3761,0.3606,0.341,0.3173,0.2885,0.27,0.2507,0.2346,0.32497000000000004,0.0035441281000000006,0.344,0.3798,0.4104,0.4392,0.4581,0.4732,0.4795,0.4322,0.2142,0.2186,0.38492,0.0086433316
1000,0.001,0.3,linear,,,,,0.4231,0.4103,0.3932,0.375,0.35,0.3184,0.293,0.2756,0.2564,0.2404,0.33354000000000006,0.003931766399999999,0.3504,0.4033,0.4271,0.4475,0.4684,0.4787,0.4868,0.4381,0.2133,0.2172,0.39308,0.0093113676
1000,0.001,0.5,sigmoid,,,,,0.4231,0.3974,0.3761,0.3654,0.3462,0.3173,0.293,0.2724,0.2528,0.2372,0.32809,0.003623442899999999,0.3504,0.383,0.4115,0.4415,0.464,0.4755,0.4838,0.4341,0.2156,0.22,0.38794,0.008753408399999999
1000,0.001,0.5,linear,,,,,0.4167,0.4135,0.3932,0.3766,0.3513,0.3184,0.294,0.2756,0.2564,0.241,0.33367,0.0038701821,0.344,0.4049,0.4261,0.4485,0.4692,0.4792,0.4876,0.4369,0.2133,0.2177,0.39274,0.009385322400000002
1000,0.075,0.3,sigmoid,,,,,0.4295,0.4199,0.3953,0.3782,0.3513,0.3216,0.2967,0.2756,0.255,0.241,0.33641,0.004229720899999999,0.3568,0.4129,0.4299,0.4573,0.4709,0.4829,0.492,0.4399,0.2147,0.2178,0.39751000000000003,0.0095636109
1000,0.075,0.3,linear,,,,,0.3974,0.3974,0.3761,0.3654,0.3449,0.3141,0.2912,0.2708,0.255,0.241,0.32533,0.0031276700999999995,0.3248,0.3681,0.3952,0.4275,0.4437,0.4556,0.4695,0.4181,0.207,0.2124,0.37219,0.008231964900000001
1000,0.075,0.5,sigmoid,,,,,0.4295,0.4231,0.3932,0.375,0.3513,0.3194,0.2967,0.2772,0.2557,0.2404,0.33615000000000006,0.0042220305,0.3568,0.4177,0.4296,0.4572,0.4721,0.4829,0.493,0.4401,0.2147,0.2174,0.39815000000000006,0.0096299985
1000,0.075,0.5,linear,,,,,0.3974,0.4006,0.3868,0.3638,0.3436,0.3152,0.293,0.27,0.2536,0.2397,0.32637,0.0033128080999999996,0.3205,0.3819,0.4106,0.4316,0.4486,0.4639,0.478,0.4222,0.209,0.2146,0.37809,0.008683446899999999
300,0.0025,0.5,linear,relu,1,100,0.65,0.3974,0.4038,0.3825,0.3718,0.3538,0.3194,0.2976,0.2748,0.2571,0.2404,0.32986,0.0032610664000000005,0.3333,0.3916,0.4161,0.4432,0.4673,0.4748,0.4914,0.4387,0.2185,0.2207,0.38956,0.0090621684
300,0.0025,0.5,linear,relu,1,100,0.8,0.3974,0.4071,0.3782,0.3638,0.3474,0.3226,0.293,0.2716,0.2543,0.2385,0.32739,0.0033124548999999997,0.3291,0.3953,0.4158,0.4415,0.4661,0.4787,0.4887,0.4357,0.2169,0.2193,0.38871,0.0091629329
300,0.0025,0.5,linear,relu,2,100,0.65,0.3974,0.3942,0.3782,0.3622,0.3449,0.3194,0.2949,0.2716,0.2564,0.2378,0.3257,0.003073431999999999,0.3248,0.3894,0.4117,0.4353,0.4597,0.4718,0.4837,0.433,0.2142,0.2179,0.38415,0.0089134225
300,0.0025,0.5,linear,relu,2,100,0.8,0.3782,0.4006,0.3803,0.367,0.3436,0.3216,0.293,0.2708,0.2536,0.2391,0.32478,0.0030163136000000003,0.3013,0.3942,0.4044,0.4365,0.4541,0.4662,0.4776,0.4257,0.2066,0.2127,0.37793,0.0092732441
400,0.0025,0.5,linear,relu,1,100,0.65,0.4103,0.3974,0.391,0.3718,0.3564,0.3237,0.2985,0.274,0.2571,0.2417,0.33219,0.0034387329,0.3376,0.3809,0.4174,0.441,0.4668,0.4749,0.4853,0.4307,0.2155,0.2198,0.38699000000000006,0.0089352849
400,0.0025,0.5,linear,relu,1,100,0.8,0.3718,0.4038,0.3782,0.3654,0.35,0.3216,0.2912,0.2716,0.2528,0.2404,0.32468,0.0029861615999999995,0.3205,0.3937,0.4133,0.4404,0.4659,0.4783,0.4854,0.4344,0.2155,0.221,0.38683999999999996,0.0091468604
400,0.0025,0.5,linear,relu,2,100,0.65,0.3974,0.4006,0.3825,0.3766,0.3487,0.3194,0.2967,0.274,0.2557,0.2391,0.32907000000000003,0.0032936521,0.3291,0.3926,0.4165,0.4478,0.463,0.4733,0.4871,0.4351,0.2195,0.2226,0.38865999999999995,0.0088564024
400,0.0025,0.5,linear,relu,2,100,0.8,0.3782,0.3814,0.3654,0.3542,0.3385,0.3141,0.2903,0.266,0.2486,0.234,0.3170700000000001,0.0026971261,0.297,0.3547,0.3828,0.4087,0.4335,0.4488,0.4572,0.4033,0.1915,0.1966,0.35741,0.0086523769
500,0.0025,0.5,linear,relu,1,100,0.65,0.4295,0.4038,0.3889,0.3814,0.3538,0.3248,0.3004,0.2764,0.2614,0.2449,0.33653,0.0037322021000000005,0.3483,0.3857,0.4122,0.4459,0.4636,0.4764,0.4867,0.4316,0.2174,0.2206,0.38884,0.008781206400000002
500,0.0025,0.5,linear,relu,1,100,0.8,0.3974,0.3974,0.3889,0.3766,0.3487,0.3216,0.293,0.27,0.2521,0.2391,0.32848,0.003442365599999999,0.3419,0.391,0.4204,0.4471,0.4647,0.4746,0.4841,0.431,0.2159,0.2204,0.38911,0.008883928900000001
