epochs,learning_rate,momemtum,activation,inner_act,number_layers,number_neurons,dropout,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,0.3,sigmoid,,,,,0.4106,0.383,0.3638,0.3441,0.3281,0.3085,0.2866,0.2646,0.2466,0.2321,0.3168,0.0032070760000000005,0.3397,0.3738,0.4023,0.4259,0.4499,0.4668,0.4743,0.4392,0.1877,0.1908,0.37504,0.0101613924
500,0.001,0.3,linear,,,,,0.4362,0.4074,0.3837,0.3601,0.3379,0.316,0.2948,0.2737,0.2548,0.2391,0.33037,0.0039642520999999984,0.3667,0.4011,0.4257,0.4461,0.4686,0.4818,0.491,0.4533,0.1993,0.2028,0.39364,0.0105178724
500,0.001,0.5,sigmoid,,,,,0.4213,0.3883,0.3652,0.3468,0.3281,0.3082,0.286,0.2636,0.2482,0.233,0.31887,0.0034941141,0.3532,0.3807,0.4056,0.4293,0.4522,0.4678,0.4759,0.4417,0.1895,0.1922,0.37881,0.010127488899999999
500,0.001,0.5,linear,,,,,0.4298,0.4085,0.3837,0.3617,0.3383,0.3156,0.2945,0.2729,0.2556,0.2391,0.32997,0.0038605941000000006,0.3631,0.4035,0.4259,0.4471,0.4698,0.4817,0.4919,0.4532,0.2001,0.2027,0.39390000000000003,0.010560106000000003
500,0.075,0.3,sigmoid,,,,,0.4447,0.4096,0.3844,0.366,0.3455,0.3202,0.2945,0.2742,0.2548,0.2402,0.33341000000000004,0.004206058899999999,0.3695,0.4016,0.4267,0.4507,0.4742,0.4873,0.4932,0.4569,0.2022,0.2058,0.39681,0.0106003689
500,0.075,0.3,linear,,,,,0.3702,0.3585,0.3433,0.3234,0.3051,0.2894,0.2751,0.2604,0.2452,0.2315,0.30021000000000003,0.002079412899999999,0.3121,0.3434,0.3696,0.3931,0.4121,0.4331,0.4432,0.4157,0.185,0.1904,0.34977,0.0080183121
500,0.075,0.5,sigmoid,,,,,0.4468,0.4085,0.3851,0.3665,0.3451,0.3206,0.2942,0.2734,0.2553,0.24,0.33354999999999996,0.004252838499999999,0.373,0.4005,0.4266,0.4517,0.4736,0.4872,0.4929,0.4565,0.2027,0.2057,0.39704000000000006,0.010554532400000002
500,0.075,0.5,linear,,,,,0.3021,0.3011,0.2943,0.2835,0.2672,0.2582,0.252,0.2426,0.2253,0.2138,0.26400999999999997,0.0008789928999999996,0.2511,0.2826,0.3103,0.3393,0.3569,0.379,0.3945,0.372,0.1588,0.1658,0.30102999999999996,0.006587388100000001
1000,0.001,0.3,sigmoid,,,,,0.4404,0.4011,0.3738,0.3511,0.3336,0.3089,0.2875,0.267,0.2499,0.2357,0.3249,0.004088884000000001,0.3709,0.3911,0.4159,0.4348,0.4608,0.4731,0.4818,0.4473,0.1926,0.1966,0.38649,0.010291976900000001
1000,0.001,0.3,linear,,,,,0.434,0.4064,0.383,0.3612,0.3374,0.3152,0.2951,0.2747,0.2556,0.2389,0.33015,0.0038819645,0.366,0.4012,0.4247,0.4465,0.4684,0.481,0.4914,0.4541,0.1995,0.2022,0.39349999999999996,0.01053527
1000,0.001,0.5,sigmoid,,,,,0.4404,0.4021,0.378,0.3532,0.3353,0.3117,0.2891,0.2697,0.2518,0.2362,0.32675,0.0040708745,0.3681,0.3972,0.4219,0.4398,0.4658,0.478,0.4858,0.4498,0.1937,0.1971,0.38972,0.0106015736
1000,0.001,0.5,linear,,,,,0.4319,0.4064,0.3837,0.3622,0.3379,0.3152,0.2945,0.275,0.2556,0.2387,0.33011,0.0038578729,0.3638,0.4018,0.4236,0.4472,0.4686,0.481,0.4909,0.4542,0.1994,0.2022,0.39327,0.0105478161
1000,0.075,0.3,sigmoid,,,,,0.4447,0.4053,0.3865,0.366,0.346,0.3206,0.2942,0.2739,0.2553,0.24,0.33325000000000005,0.004166210499999999,0.3681,0.3936,0.4244,0.4491,0.4727,0.4851,0.4907,0.4546,0.2021,0.2051,0.39455,0.010465308500000001
1000,0.075,0.3,linear,,,,,0.3702,0.3638,0.3433,0.3218,0.3055,0.289,0.2748,0.2614,0.2452,0.2311,0.30061,0.0021371388999999992,0.3135,0.3504,0.3706,0.3946,0.4154,0.4348,0.4448,0.4185,0.1856,0.1908,0.3519,0.008122932
1000,0.075,0.5,sigmoid,,,,,0.4447,0.4064,0.3865,0.366,0.3455,0.3213,0.2942,0.2737,0.256,0.2396,0.33339,0.004178180899999999,0.3681,0.3959,0.4254,0.4502,0.4734,0.486,0.4913,0.4555,0.2031,0.2055,0.39543999999999996,0.0104791044
1000,0.075,0.5,linear,,,,,0.3021,0.2968,0.2922,0.2819,0.2677,0.2589,0.2523,0.2431,0.2258,0.2132,0.2634,0.0008292779999999998,0.2525,0.2803,0.307,0.3369,0.3554,0.3783,0.3938,0.3712,0.1583,0.1644,0.29981,0.006558876899999999
300,0.0025,0.5,linear,relu,1,100,0.65,0.4638,0.4202,0.3965,0.3729,0.3447,0.3177,0.296,0.2745,0.2553,0.2381,0.33797,0.005029526099999999,0.3929,0.4181,0.4463,0.4716,0.487,0.4969,0.5065,0.4669,0.2039,0.2066,0.40967000000000003,0.011534842099999998
300,0.0025,0.5,linear,relu,1,100,0.8,0.4553,0.4149,0.3872,0.359,0.3357,0.3152,0.2942,0.271,0.2513,0.2366,0.33204,0.004691074399999998,0.3858,0.417,0.4421,0.4598,0.4787,0.4917,0.5007,0.4638,0.1996,0.2036,0.40428,0.0113202536
300,0.0025,0.5,linear,relu,2,100,0.65,0.4617,0.4149,0.3879,0.3649,0.3426,0.3163,0.2964,0.2723,0.2511,0.237,0.33451000000000003,0.0048598829,0.3837,0.4137,0.4378,0.4623,0.481,0.4913,0.5022,0.4613,0.1991,0.2032,0.40356000000000003,0.011382704399999999
300,0.0025,0.5,linear,relu,2,100,0.8,0.4532,0.4117,0.3809,0.3516,0.3285,0.3074,0.2881,0.2691,0.2492,0.234,0.32737,0.0046563401,0.3823,0.4096,0.4342,0.4513,0.4681,0.4829,0.4932,0.4562,0.1962,0.2003,0.39743,0.010890996099999998
400,0.0025,0.5,linear,relu,1,100,0.65,0.4617,0.4138,0.3901,0.3729,0.3472,0.3209,0.2979,0.2758,0.2572,0.2417,0.33792,0.004663591600000001,0.3837,0.416,0.4447,0.4721,0.4883,0.5001,0.5076,0.4678,0.2039,0.2085,0.40926999999999997,0.0115977821
400,0.0025,0.5,linear,relu,1,100,0.8,0.4532,0.4128,0.3915,0.3649,0.3413,0.3191,0.2936,0.2715,0.253,0.2385,0.33394,0.004617406399999999,0.3794,0.4124,0.4423,0.4629,0.481,0.494,0.4999,0.4614,0.1988,0.2043,0.40364000000000005,0.011411822399999999
400,0.0025,0.5,linear,relu,2,100,0.65,0.4574,0.4106,0.3872,0.3691,0.3472,0.3181,0.2948,0.2723,0.253,0.2368,0.33465,0.004693256499999999,0.3837,0.4092,0.4373,0.4631,0.4813,0.4929,0.4997,0.4598,0.1988,0.2031,0.4028899999999999,0.011364698900000001
400,0.0025,0.5,linear,relu,2,100,0.8,0.4468,0.4106,0.3858,0.3633,0.3391,0.3135,0.2933,0.2723,0.2548,0.2379,0.33174000000000003,0.004349954399999999,0.383,0.4158,0.443,0.4674,0.4827,0.497,0.5049,0.4665,0.2056,0.2085,0.4074400000000001,0.011251502400000002
500,0.0025,0.5,linear,relu,1,100,0.65,0.4787,0.4319,0.405,0.3798,0.3468,0.3213,0.2976,0.2753,0.2551,0.2394,0.34309,0.005710500900000001,0.4163,0.4402,0.4668,0.4901,0.5023,0.514,0.52,0.4779,0.2059,0.2093,0.42428,0.012653779599999998
500,0.0025,0.5,linear,relu,1,100,0.8,0.4553,0.4128,0.3901,0.3686,0.3421,0.3181,0.2973,0.2734,0.2546,0.2396,0.33519,0.0045806729,0.3858,0.4152,0.4421,0.4682,0.4858,0.4975,0.5065,0.4651,0.2023,0.2055,0.4074,0.011567242
500,0.0025,0.5,linear,relu,2,100,0.65,0.4787,0.4277,0.3993,0.3745,0.3515,0.3252,0.3,0.2758,0.256,0.2406,0.34293,0.005455916100000001,0.4106,0.4312,0.4554,0.4789,0.4982,0.5106,0.5153,0.4725,0.2062,0.2109,0.41898,0.0120520956
500,0.0025,0.5,linear,relu,2,100,0.8,0.4638,0.4117,0.3894,0.3633,0.3396,0.3149,0.2912,0.2707,0.2515,0.2362,0.33323,0.0049413041,0.4057,0.4177,0.448,0.4691,0.4845,0.4991,0.5046,0.4638,0.2017,0.2057,0.40998999999999997,0.011547462900000003
600,0.0025,0.5,linear,relu,1,100,0.65,0.4851,0.434,0.4078,0.3766,0.3489,0.3234,0.3,0.2766,0.2563,0.2402,0.34489000000000003,0.005852734899999999,0.4142,0.4426,0.4733,0.4916,0.5051,0.5146,0.5221,0.4801,0.2088,0.2126,0.4265,0.012593713999999997
600,0.0025,0.5,linear,relu,1,100,0.8,0.466,0.4181,0.395,0.3676,0.3443,0.3206,0.2954,0.2745,0.2567,0.2419,0.33801,0.004895952900000002,0.3936,0.4243,0.4509,0.4694,0.488,0.5009,0.507,0.4682,0.2055,0.2099,0.41177,0.011464660100000001
600,0.0025,0.5,linear,relu,2,100,0.65,0.4596,0.417,0.3965,0.3702,0.3485,0.3241,0.2967,0.2747,0.2558,0.24,0.33831,0.004786256899999999,0.3901,0.4179,0.4526,0.4734,0.4922,0.5063,0.5098,0.4705,0.2061,0.2091,0.4128,0.011780118
600,0.0025,0.5,linear,relu,2,100,0.8,0.4553,0.4106,0.3894,0.3612,0.3396,0.3138,0.2921,0.2713,0.253,0.2368,0.33231000000000005,0.0046496828999999995,0.3887,0.4191,0.4477,0.4653,0.4858,0.4995,0.5058,0.4663,0.2049,0.2079,0.4091,0.011402142
