epochs,learning_rate,momemtum,activation,inner_act,number_layers,number_neurons,dropout,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,0.3,sigmoid,,,,,0.42216000000000004,0.39158000000000004,0.3699,0.35268,0.33498,0.31314000000000003,0.29298,0.2747,0.25832,0.24210000000000004,0.32525400000000004,0.0031768772040000003,0.35414,0.38308,0.40982,0.43464,0.45675999999999994,0.47051999999999994,0.4779400000000001,0.44580000000000003,0.21545999999999998,0.21898,0.386714,0.008511091364
500,0.001,0.3,linear,,,,,0.44256,0.40754,0.39074000000000003,0.36479999999999996,0.34487999999999996,0.32249999999999995,0.3001,0.28028,0.26332000000000005,0.24921999999999994,0.336594,0.003776316804000001,0.37113999999999997,0.3984,0.42960000000000004,0.44909999999999994,0.47036,0.48353999999999997,0.48978,0.45598,0.22270000000000004,0.22946,0.40000600000000003,0.008776528083999998
500,0.001,0.5,sigmoid,,,,,0.42730000000000007,0.39540000000000003,0.37542000000000003,0.35556,0.33572,0.31420000000000003,0.29482,0.27612000000000003,0.25905999999999996,0.244,0.32776000000000005,0.0033262092800000016,0.35925999999999997,0.38594,0.41678,0.43948,0.45983999999999997,0.47394,0.48192,0.44865999999999995,0.21694,0.22108,0.39038399999999995,0.008642295663999999
500,0.001,0.5,linear,,,,,0.44514,0.40625999999999995,0.3890600000000001,0.36512,0.3454,0.32208,0.30028000000000005,0.2798,0.26318,0.24910000000000002,0.336542,0.0038079254759999987,0.37370000000000003,0.39561999999999997,0.42800000000000005,0.44802,0.4687,0.48231999999999997,0.48876,0.4548,0.22298,0.22923999999999997,0.39921400000000007,0.008666732484
500,0.075,0.3,sigmoid,,,,,0.45532000000000006,0.41581999999999997,0.39074000000000003,0.37054,0.34846,0.32652000000000003,0.30374,0.28154,0.2643,0.24935999999999997,0.340634,0.004148233524000002,0.37712,0.40872,0.43283999999999995,0.45893999999999996,0.47598,0.49042,0.49648000000000003,0.46064,0.2254,0.2306,0.405714,0.009094128084
500,0.075,0.3,linear,,,,,0.40942,0.38838,0.36654,0.3508,0.32886000000000004,0.30845999999999996,0.29226,0.27342000000000005,0.25666,0.24156,0.321636,0.002907527184,0.34053999999999995,0.37456,0.39798,0.42596,0.44096,0.45405999999999996,0.46613999999999994,0.43198,0.20516,0.20991999999999997,0.374726,0.008256339364
500,0.075,0.5,sigmoid,,,,,0.45533999999999997,0.41518,0.39032000000000006,0.37054000000000004,0.34795999999999994,0.32716,0.3032,0.28234,0.26444,0.25,0.340648,0.004113239935999999,0.3771,0.40742,0.4311,0.45831999999999995,0.4755,0.49062,0.49551999999999996,0.46055999999999997,0.22471999999999998,0.23024,0.40510999999999997,0.009093213219999998
500,0.075,0.5,linear,,,,,0.38778,0.37438,0.36226,0.33995999999999993,0.3184,0.30102,0.28552000000000005,0.26642,0.25014,0.23556,0.312144,0.002555147504,0.31633999999999995,0.35462000000000005,0.3861,0.4077,0.42494000000000004,0.43900000000000006,0.45038,0.41628,0.19362,0.19836,0.358734,0.008047959284000001
1000,0.001,0.3,sigmoid,,,,,0.43111999999999995,0.40496,0.3801,0.361,0.33596,0.3159,0.29575999999999997,0.27677999999999997,0.26076,0.2454,0.330774,0.003549969043999999,0.36052,0.39742,0.42433999999999994,0.44821999999999995,0.46475999999999995,0.47875999999999996,0.48548,0.45386000000000004,0.22036000000000003,0.22529999999999997,0.395902,0.008771033955999999
1000,0.001,0.3,linear,,,,,0.44132,0.40625999999999995,0.38862,0.36415999999999993,0.34514,0.32248,0.30046,0.28028,0.26276,0.24886,0.336034,0.0037182225639999997,0.36646,0.39605999999999997,0.42733999999999994,0.4473599999999999,0.46849999999999997,0.48246,0.48864,0.45524,0.22222,0.22820000000000001,0.398248,0.008762158255999998
1000,0.001,0.5,sigmoid,,,,,0.44001999999999997,0.40942,0.38180000000000003,0.36194,0.34084000000000003,0.31843999999999995,0.2972,0.27806000000000003,0.26232,0.24746,0.33375000000000005,0.0037392892199999994,0.3669,0.40316,0.42576,0.44977999999999996,0.4694,0.48197999999999996,0.488,0.4566,0.22142,0.22669999999999998,0.39897000000000005,0.008864495939999998
