epochs,learning_rate,Opti_method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.4395,0.449,0.4204,0.3981,0.3771,0.3641,0.3376,0.3201,0.3015,0.286,0.36934,0.0029769904000000007,0.3503,0.4427,0.4679,0.4816,0.4994,0.5159,0.5175,0.473,0.2705,0.2758,0.42946,0.008152774399999998
500,0.001,NDCG@10,0.465,0.4522,0.4246,0.3965,0.3783,0.3652,0.3394,0.3232,0.3022,0.2879,0.37345,0.0033902005,0.3843,0.4411,0.4678,0.4814,0.5004,0.516,0.5209,0.4745,0.2712,0.2773,0.43349000000000004,0.007729064900000001
500,0.001,P@5,0.4522,0.4459,0.4098,0.3901,0.3783,0.3652,0.3367,0.3201,0.3008,0.2847,0.36838000000000004,0.0030235016000000003,0.3673,0.4363,0.4565,0.4733,0.4958,0.5113,0.5162,0.4702,0.2666,0.2729,0.42664,0.007780100400000001
500,0.001,P@10,0.4586,0.4682,0.4352,0.4013,0.3809,0.3599,0.3367,0.3225,0.3008,0.286,0.37501,0.0037903528999999997,0.3737,0.4628,0.4802,0.488,0.5084,0.5177,0.5225,0.4822,0.2749,0.2802,0.43906,0.0080923724
500,0.001,ERR@10,0.4522,0.4427,0.4119,0.3997,0.3758,0.3609,0.3376,0.3193,0.3015,0.2892,0.36908,0.0029628955999999994,0.38,0.4347,0.4589,0.4811,0.4942,0.5126,0.5225,0.4741,0.2702,0.2774,0.43057,0.0076233520999999995
500,1e-05,NDCG@5,0.4076,0.4427,0.4076,0.3854,0.372,0.3546,0.333,0.3161,0.2972,0.2822,0.35984000000000005,0.0024841763999999995,0.3312,0.4193,0.4393,0.4613,0.4841,0.4979,0.5089,0.4605,0.2636,0.2719,0.4138,0.007569496000000002
500,1e-05,NDCG@10,0.4713,0.449,0.4225,0.4045,0.3796,0.3652,0.3439,0.3201,0.3001,0.286,0.37422,0.0035499536000000004,0.3864,0.4379,0.4589,0.477,0.496,0.5124,0.5219,0.4713,0.2658,0.2738,0.4301399999999999,0.007766452400000001
500,1e-05,P@5,0.4013,0.4395,0.4183,0.3885,0.3694,0.345,0.3285,0.3097,0.293,0.2783,0.35714999999999997,0.002715544500000001,0.3163,0.4273,0.4581,0.4704,0.4864,0.4968,0.5103,0.4619,0.2543,0.2611,0.41429,0.008739530899999999
500,1e-05,P@10,0.4522,0.4363,0.4183,0.4029,0.3873,0.3641,0.3385,0.3209,0.3001,0.2847,0.37052999999999997,0.0030464281,0.3588,0.4183,0.4478,0.4738,0.4946,0.5119,0.5139,0.4679,0.2647,0.2696,0.42213,0.0079230881
500,1e-05,ERR@10,0.3885,0.4013,0.4034,0.3854,0.3631,0.3408,0.3276,0.3089,0.2902,0.2777,0.34869,0.0019452048999999995,0.3079,0.3891,0.437,0.4546,0.4719,0.4805,0.495,0.4461,0.2505,0.2587,0.39913000000000004,0.0078059821
1000,0.001,NDCG@5,0.4395,0.4459,0.414,0.3901,0.3745,0.3631,0.3321,0.3185,0.3001,0.2847,0.36625,0.0029109065,0.3631,0.4384,0.4603,0.4747,0.4972,0.5099,0.514,0.4709,0.2662,0.2741,0.42688,0.0078128916
1000,0.001,NDCG@10,0.4713,0.4586,0.4225,0.3981,0.3783,0.3588,0.3385,0.3225,0.3022,0.2873,0.37381000000000003,0.003639130899999999,0.3822,0.4496,0.4675,0.4812,0.4999,0.5145,0.5236,0.4762,0.2709,0.2775,0.43431,0.007800164899999999
1000,0.001,P@5,0.4841,0.465,0.4268,0.4124,0.3847,0.3588,0.3412,0.3248,0.3043,0.2885,0.37906,0.0040419724,0.3949,0.4565,0.4658,0.4855,0.5016,0.5157,0.5217,0.477,0.273,0.2788,0.43705,0.007639850500000002
1000,0.001,P@10,0.4713,0.4459,0.4183,0.4124,0.3834,0.3662,0.3476,0.3264,0.3079,0.2911,0.37705,0.0032334464999999994,0.3907,0.4167,0.4442,0.4744,0.4897,0.5067,0.518,0.4683,0.2722,0.277,0.42579,0.007068484900000001
1000,0.001,ERR@10,0.4713,0.4459,0.4119,0.3949,0.3796,0.362,0.3385,0.3185,0.3015,0.2885,0.37126000000000003,0.0033517404,0.3864,0.4326,0.4549,0.4767,0.4961,0.5108,0.5186,0.4691,0.2689,0.2763,0.42904,0.007455292400000001
1000,1e-05,NDCG@5,0.4586,0.4363,0.4161,0.3965,0.3745,0.3609,0.3312,0.3209,0.2994,0.2841,0.36785,0.0031409365,0.3737,0.4188,0.4521,0.4663,0.4856,0.5033,0.5084,0.4677,0.2644,0.2701,0.42103999999999997,0.0073321883999999974
1000,1e-05,NDCG@10,0.465,0.4522,0.4289,0.4108,0.3873,0.3694,0.3439,0.3264,0.3057,0.2879,0.37775,0.0034071785,0.3885,0.4262,0.4587,0.4855,0.503,0.5222,0.5263,0.48,0.2766,0.2815,0.43485000000000007,0.007659274499999999
1000,1e-05,P@5,0.4204,0.4172,0.4098,0.3917,0.3669,0.3524,0.3321,0.3145,0.2979,0.2828,0.35856999999999994,0.0023154761,0.3397,0.4061,0.4478,0.4691,0.4823,0.4987,0.5047,0.4589,0.2607,0.269,0.41369999999999996,0.007636782
1000,1e-05,P@10,0.4522,0.4363,0.431,0.4045,0.3796,0.3577,0.3403,0.3248,0.3086,0.2898,0.37248000000000003,0.0029372856000000006,0.3673,0.4299,0.4666,0.4904,0.5069,0.5133,0.5242,0.477,0.2745,0.2795,0.4329599999999999,0.007959704399999998
1000,1e-05,ERR@10,0.4522,0.4363,0.4289,0.3997,0.3771,0.3556,0.3358,0.3161,0.2979,0.2847,0.36843,0.0032286301,0.3715,0.4363,0.4719,0.4853,0.5005,0.5067,0.5188,0.4701,0.2653,0.2729,0.42993000000000003,0.008042868100000003
1500,0.001,NDCG@5,0.4586,0.449,0.414,0.3901,0.3758,0.3652,0.3385,0.3225,0.3022,0.2866,0.37025,0.0031287924999999993,0.3779,0.4421,0.4625,0.4745,0.4995,0.5159,0.5231,0.4757,0.269,0.2757,0.43159000000000003,0.007856668899999999
1500,0.001,NDCG@10,0.4586,0.4459,0.4204,0.3981,0.3822,0.3673,0.3367,0.3209,0.2987,0.286,0.37148000000000003,0.0032734156000000006,0.3779,0.4337,0.4668,0.4796,0.5008,0.5144,0.5187,0.4735,0.268,0.2756,0.4309,0.00785137
1500,0.001,P@5,0.4331,0.449,0.4098,0.3917,0.3745,0.362,0.3385,0.3177,0.3001,0.2847,0.36611,0.0028100109000000002,0.3567,0.4406,0.4563,0.4768,0.4935,0.5114,0.5159,0.4698,0.2684,0.2754,0.42648,0.007788005599999999
1500,0.001,P@10,0.4777,0.4522,0.4204,0.3965,0.3783,0.3641,0.3394,0.3193,0.3022,0.2873,0.37374,0.0036505344,0.3928,0.4379,0.4634,0.477,0.4979,0.5109,0.5205,0.4711,0.2693,0.2766,0.43174,0.0075131264
1500,0.001,ERR@10,0.4522,0.449,0.4225,0.3981,0.3732,0.3652,0.3367,0.3193,0.3022,0.2847,0.37031000000000003,0.0032128328999999995,0.3715,0.4352,0.4687,0.4821,0.4969,0.5129,0.5185,0.4725,0.2726,0.2779,0.43088,0.007654933599999999
1500,1e-05,NDCG@5,0.4395,0.4268,0.4055,0.3885,0.3771,0.362,0.3339,0.3201,0.3001,0.2854,0.36389,0.0025236469000000012,0.3588,0.4193,0.4432,0.4692,0.4904,0.5066,0.509,0.4668,0.2622,0.2703,0.41958,0.0076580936000000014
1500,1e-05,NDCG@10,0.4395,0.4331,0.4225,0.3997,0.3707,0.3577,0.3321,0.3177,0.2994,0.2841,0.36565,0.0028947624999999992,0.3588,0.4167,0.4607,0.4793,0.4915,0.5076,0.5114,0.4705,0.2652,0.2726,0.42343000000000003,0.0078191681
1500,1e-05,P@5,0.4586,0.449,0.4204,0.3981,0.3783,0.3599,0.3412,0.3201,0.3008,0.2841,0.37105,0.0033067504999999995,0.3694,0.4374,0.4628,0.4798,0.497,0.5099,0.5202,0.4708,0.2709,0.2751,0.42933000000000004,0.007725902099999999
1500,1e-05,P@10,0.4586,0.4522,0.4246,0.3981,0.3809,0.3641,0.3394,0.3193,0.3015,0.2892,0.37279,0.0033181089000000005,0.3779,0.4512,0.4722,0.4884,0.5074,0.5189,0.524,0.4752,0.2705,0.2783,0.4364,0.00811718
1500,1e-05,ERR@10,0.4459,0.4459,0.4161,0.4029,0.3822,0.3641,0.3421,0.3217,0.3071,0.2911,0.37191,0.0028169329000000006,0.3737,0.4358,0.4533,0.4763,0.4981,0.5135,0.5238,0.4762,0.2749,0.28,0.43056,0.0074985524
2000,0.001,NDCG@5,0.4459,0.4618,0.4289,0.4013,0.3783,0.362,0.3385,0.3217,0.3043,0.2885,0.37312,0.0032956376000000003,0.3652,0.4443,0.4702,0.4873,0.5017,0.515,0.5229,0.4791,0.2713,0.2769,0.43339,0.008122034900000002
2000,0.001,NDCG@10,0.4459,0.4459,0.4076,0.3854,0.3732,0.3631,0.3348,0.3177,0.3015,0.2866,0.36617,0.002870584100000001,0.3609,0.4368,0.456,0.4717,0.4909,0.5093,0.5113,0.4661,0.2669,0.2735,0.42434000000000005,0.007591964399999998
2000,0.001,P@5,0.4522,0.4554,0.414,0.3965,0.3771,0.3652,0.3412,0.3209,0.3022,0.286,0.37106999999999996,0.0031643341,0.3673,0.4459,0.4636,0.479,0.4998,0.5139,0.5217,0.4725,0.2705,0.2766,0.43108,0.0078800596
2000,0.001,P@10,0.465,0.449,0.4268,0.4013,0.3771,0.3641,0.3403,0.3217,0.3036,0.286,0.37349,0.0034115289000000012,0.38,0.4299,0.4596,0.4765,0.4936,0.5125,0.5219,0.4761,0.2728,0.277,0.42999,0.007508128899999999
2000,0.001,ERR@10,0.4331,0.4395,0.414,0.3965,0.3809,0.3652,0.3358,0.3209,0.3015,0.286,0.36734,0.0026849904000000005,0.3524,0.4252,0.4565,0.4735,0.4974,0.5098,0.5122,0.47,0.269,0.2762,0.42422000000000004,0.0077148296000000005
2000,1e-05,NDCG@5,0.4522,0.449,0.4289,0.3981,0.386,0.3673,0.3412,0.3232,0.3057,0.2904,0.3742,0.0030833880000000003,0.3715,0.4421,0.4708,0.4846,0.5058,0.5201,0.5262,0.4805,0.2733,0.2798,0.43547,0.0080698521
2000,1e-05,NDCG@10,0.4777,0.4427,0.414,0.3997,0.3822,0.3652,0.3394,0.3193,0.3015,0.2873,0.3729,0.003482884,0.3928,0.4321,0.4548,0.4761,0.4954,0.5121,0.5226,0.4738,0.2698,0.2757,0.4305199999999999,0.0075109096
2000,1e-05,P@5,0.4713,0.4682,0.4289,0.3997,0.3822,0.3673,0.3358,0.3185,0.3008,0.286,0.37587000000000004,0.0039734321,0.3864,0.4613,0.4786,0.4937,0.5121,0.5252,0.5258,0.4791,0.2736,0.281,0.44168,0.0081989936
2000,1e-05,P@10,0.465,0.4363,0.4183,0.3901,0.3732,0.3567,0.3376,0.3256,0.305,0.2885,0.36963,0.003023172100000001,0.3843,0.4283,0.4547,0.4657,0.485,0.5039,0.5148,0.4711,0.2728,0.2773,0.42579,0.006919430900000001
2000,1e-05,ERR@10,0.4522,0.4554,0.431,0.4029,0.3809,0.3652,0.3385,0.3201,0.3029,0.2847,0.37338,0.0034141775999999998,0.3673,0.4443,0.4756,0.4869,0.5044,0.5185,0.5215,0.4763,0.2738,0.2782,0.4346799999999999,0.008055895599999998
