epochs,learning_rate,Opti_method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.383,0.35,0.3312,0.3261,0.3072,0.289,0.2714,0.2551,0.2392,0.2255,0.29777,0.0023247621,0.3291,0.3413,0.3658,0.3973,0.4123,0.4287,0.4372,0.411,0.1852,0.1911,0.3499,0.00768074
500,0.001,NDCG@10,0.3894,0.3543,0.3348,0.3271,0.3106,0.2904,0.2723,0.2545,0.2385,0.2251,0.29969999999999997,0.0025319720000000004,0.3369,0.3498,0.3742,0.4017,0.4208,0.4346,0.4425,0.4137,0.1895,0.1939,0.35575999999999997,0.007800960400000001
500,0.001,P@5,0.3745,0.3479,0.334,0.3239,0.3068,0.2883,0.2684,0.2532,0.2371,0.2253,0.29594,0.0022315464,0.3248,0.3365,0.3673,0.3944,0.412,0.4277,0.4325,0.4077,0.1864,0.1921,0.34814,0.007476754399999999
500,0.001,P@10,0.3787,0.3511,0.334,0.3271,0.3064,0.2883,0.2696,0.2529,0.2388,0.2251,0.29719999999999996,0.0023292779999999997,0.3333,0.3447,0.3711,0.4025,0.4156,0.4323,0.4383,0.412,0.1894,0.1949,0.35341,0.0075958069
500,0.001,ERR@10,0.3723,0.35,0.3319,0.3207,0.3064,0.2901,0.2681,0.2527,0.2383,0.2251,0.29555999999999993,0.0021787024,0.317,0.3413,0.3676,0.3933,0.4147,0.4311,0.4351,0.4086,0.187,0.193,0.34886999999999996,0.007599384099999999
500,1e-05,NDCG@5,0.3766,0.3553,0.3298,0.3223,0.3102,0.2897,0.2733,0.2556,0.2404,0.2245,0.29777,0.0022408040999999995,0.3227,0.3486,0.3646,0.3896,0.4125,0.429,0.4368,0.4113,0.1883,0.1911,0.34945,0.007536082500000001
500,1e-05,NDCG@10,0.3787,0.3617,0.344,0.3223,0.3081,0.2869,0.2693,0.2537,0.2378,0.2236,0.29860999999999993,0.0025443748999999997,0.3234,0.358,0.3846,0.4021,0.4237,0.4366,0.4451,0.4191,0.1952,0.1989,0.35866999999999993,0.0077475761
500,1e-05,P@5,0.3468,0.3394,0.3163,0.3133,0.3004,0.2819,0.265,0.2481,0.2326,0.2198,0.28636,0.0017545864000000002,0.3,0.3332,0.3504,0.3788,0.4011,0.4157,0.424,0.3972,0.1762,0.1816,0.33582,0.0074797656
500,1e-05,P@10,0.3915,0.3649,0.3447,0.3234,0.3098,0.289,0.2696,0.2535,0.2378,0.2234,0.30076,0.0028163984000000005,0.339,0.3638,0.3883,0.4078,0.4269,0.4418,0.4486,0.4211,0.1985,0.202,0.36378000000000005,0.007719455599999999
500,1e-05,ERR@10,0.3617,0.3383,0.3248,0.3106,0.2966,0.2801,0.2614,0.2444,0.2326,0.2204,0.28709,0.0020202308999999995,0.3121,0.3333,0.3583,0.3801,0.4017,0.4185,0.4236,0.3972,0.1781,0.1839,0.33868,0.007355753599999999
