epochs,learning_rate,Opti_method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.41196,0.38646,0.36184000000000005,0.34218000000000004,0.3258,0.3106,0.28828000000000004,0.27262000000000003,0.25524,0.24094,0.319592,0.002893181056,0.35072000000000003,0.38178,0.40754,0.42779999999999996,0.44764,0.46668000000000004,0.47142,0.4401,0.20908000000000002,0.21402000000000002,0.38167799999999996,0.008469684675999999
500,0.001,NDCG@10,0.41962,0.38648,0.36268,0.34154000000000007,0.32398000000000005,0.30826,0.28789999999999993,0.27342,0.25568,0.24158,0.32011400000000007,0.0030269692040000005,0.35923999999999995,0.38380000000000003,0.40939999999999993,0.4293,0.4477399999999999,0.46538,0.47152000000000005,0.44058,0.20869999999999997,0.2138,0.382946,0.008454390724000001
500,0.001,P@5,0.41448,0.38584000000000007,0.358,0.34601999999999994,0.32883999999999997,0.3108,0.28862,0.2731,0.2551,0.24118,0.320198,0.0029153726760000006,0.35581999999999997,0.38411999999999996,0.40376,0.43004,0.45055999999999996,0.46612,0.47257999999999994,0.44116,0.20929999999999999,0.21508,0.382854,0.008463279923999997
500,0.001,P@10,0.41194,0.39542,0.36524,0.3457,0.32858,0.31018,0.28972000000000003,0.2739,0.25623999999999997,0.24146,0.32183799999999996,0.0030260511559999995,0.35158,0.39455999999999997,0.41430000000000006,0.43588000000000005,0.4555199999999999,0.47108,0.47816000000000003,0.44644000000000006,0.21252,0.21753999999999998,0.387758,0.008720818676
500,0.001,ERR@10,0.42088000000000003,0.3832999999999999,0.35844,0.3444,0.32732,0.30954000000000004,0.28792,0.2712,0.25549999999999995,0.2426,0.32011,0.0029981107399999997,0.36306000000000005,0.38273999999999997,0.40354,0.4283,0.44912,0.46559999999999996,0.4728,0.4403,0.20978,0.21558000000000002,0.38308200000000003,0.008344815475999998
500,1e-05,NDCG@5,0.39537999999999995,0.38266,0.35628000000000004,0.34025999999999995,0.32656,0.30976,0.29062,0.27198,0.25368,0.24044,0.31676200000000004,0.0025275411559999993,0.3333,0.3705,0.39464,0.42035999999999996,0.44421999999999995,0.46006,0.46928000000000003,0.4364800000000001,0.20815999999999998,0.21444000000000002,0.375144,0.008251241184
500,1e-05,NDCG@10,0.40942,0.37816,0.35882,0.34378000000000003,0.3255,0.30592,0.28952,0.27183999999999997,0.25524,0.2403,0.31784999999999997,0.00274276378,0.34732,0.37518,0.39749999999999996,0.4210999999999999,0.44089999999999996,0.45648,0.46646,0.4335,0.20576,0.21112000000000003,0.375532,0.008166265855999997
500,1e-05,P@5,0.3814,0.3718,0.35331999999999997,0.3355,0.32402000000000003,0.30188000000000004,0.28518,0.26818,0.25128,0.23798,0.31105400000000005,0.0022695321640000005,0.32355999999999996,0.37029999999999996,0.3944,0.41647999999999996,0.44160000000000005,0.45418000000000003,0.46373999999999993,0.43187999999999993,0.20342000000000002,0.20882,0.370838,0.008346253475999998
500,1e-05,P@10,0.41832,0.37882,0.35969999999999996,0.34474000000000005,0.32632,0.30632000000000004,0.28592,0.2696,0.25339999999999996,0.2394,0.318254,0.0030144898440000005,0.35198,0.37329999999999997,0.39904,0.42148,0.44184,0.4586,0.46484,0.43412000000000006,0.20346000000000003,0.20815999999999998,0.375682,0.008355097396
500,1e-05,ERR@10,0.3801,0.3648,0.35248,0.34154,0.32477999999999996,0.30486,0.28644,0.2693,0.25256,0.23864000000000002,0.31155,0.00215403818,0.31974,0.35884,0.38805999999999996,0.41373999999999994,0.43348,0.44988,0.4587800000000001,0.42614,0.20142,0.20617999999999997,0.365626,0.008139896724000003
1000,0.001,NDCG@5,0.4145,0.3814,0.36058,0.34215999999999996,0.32654,0.31082,0.2879,0.27326,0.25552,0.24182,0.31945,0.00284468514,0.35497999999999996,0.38020000000000004,0.40546000000000004,0.4266,0.44753999999999994,0.46453999999999995,0.47050000000000003,0.44048,0.2089,0.21496000000000004,0.381416,0.008349591663999997
