epochs,learning_rate,Opti_method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.40520000000000006,0.38049999999999995,0.358,0.3463,0.3306,0.31093999999999994,0.29117999999999994,0.27358000000000005,0.25646,0.24144000000000002,0.3194199999999999,0.00264404736,0.34165999999999996,0.37224,0.39791999999999994,0.42539999999999994,0.44720000000000004,0.46218000000000004,0.47009999999999996,0.43723999999999996,0.20709999999999998,0.21214,0.377318,0.008457573796
500,0.001,NDCG@10,0.40557999999999994,0.37924,0.35926,0.34819999999999995,0.33120000000000005,0.3115,0.29104,0.27321999999999996,0.25622,0.24178000000000002,0.319724,0.002658013663999999,0.34268,0.37132,0.3978,0.42607999999999996,0.44695999999999997,0.46230000000000004,0.46979999999999994,0.43708,0.20703999999999997,0.21202000000000001,0.3773079999999999,0.008454740256
500,0.001,P@5,0.40176,0.37966,0.36024,0.34554,0.33036000000000004,0.31233999999999995,0.29069999999999996,0.27332,0.25556000000000006,0.24090000000000003,0.31903800000000004,0.002611914915999999,0.33912,0.37144,0.39847999999999995,0.42469999999999997,0.44686000000000003,0.4633,0.46971999999999997,0.43742000000000003,0.20752,0.21230000000000002,0.377086,0.008462765923999999
500,0.001,P@10,0.40429999999999994,0.37926,0.3598,0.34822000000000003,0.33111999999999997,0.31122,0.29154,0.27354,0.25662,0.2415,0.319712,0.0026346336959999985,0.34112,0.37126,0.39828,0.42778,0.44822000000000006,0.46334,0.4713,0.43794000000000005,0.20826000000000003,0.21292,0.378042,0.008486940276
500,0.001,ERR@10,0.40262000000000003,0.38178,0.36082000000000003,0.3464,0.33112,0.3116,0.29034,0.27321999999999996,0.25608,0.24139999999999998,0.319538,0.002652995556000002,0.3408,0.373,0.39962,0.42662000000000005,0.44852,0.4638,0.47046,0.43756000000000006,0.20750000000000002,0.21268000000000004,0.37805600000000006,0.008507204543999999
500,1e-05,NDCG@5,0.4107,0.38669999999999993,0.36224,0.3481,0.33188,0.30936,0.28968,0.27244,0.25612,0.24058000000000002,0.32077999999999995,0.002906691439999999,0.3478,0.37967999999999996,0.40354,0.42810000000000004,0.44958,0.4626,0.47076,0.43881999999999993,0.20877999999999997,0.21268000000000004,0.380234,0.008457771364
500,1e-05,NDCG@10,0.3984,0.38182,0.36025999999999997,0.34206,0.32667999999999997,0.30698,0.2881,0.2705,0.2535200000000001,0.23914,0.316746,0.0026609831239999978,0.33487999999999996,0.37736000000000003,0.40038,0.4234,0.44576000000000005,0.46028,0.4687,0.43581999999999993,0.20615999999999998,0.21060000000000004,0.37633400000000006,0.008487681684000001
500,1e-05,P@5,0.38606,0.37076000000000003,0.3506,0.3378,0.32228,0.30369999999999997,0.28502,0.26764,0.25124,0.23746,0.31125600000000003,0.0023205973440000006,0.32908000000000004,0.3645,0.38848000000000005,0.4143,0.4356,0.45032000000000005,0.45898000000000005,0.4272,0.20114,0.2063,0.36759,0.008120594820000002
500,1e-05,P@10,0.41072,0.3837,0.36126,0.34502,0.32944000000000007,0.3093,0.29044,0.27206,0.25494,0.24044,0.31973199999999996,0.0028553716159999995,0.34806,0.37804000000000004,0.40293999999999996,0.4258,0.4486,0.46277999999999997,0.4710599999999999,0.43746,0.20842,0.21302,0.379618,0.008412050995999999
500,1e-05,ERR@10,0.39498,0.37882000000000005,0.35897999999999997,0.34076,0.32677999999999996,0.3071,0.28704,0.26915999999999995,0.25311999999999996,0.23897999999999997,0.3155720000000001,0.002575675936000002,0.33828,0.37332,0.39846,0.4197,0.44422000000000006,0.45888,0.46596000000000004,0.43266,0.20306000000000002,0.20788,0.374242,0.008481201476
