epochs,learning_rate,momentum,output function,hidden function,nb hidden layers,nb neurons,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
100,0.001,0.01,Identity,,,,0.4231,0.4103,0.3932,0.3718,0.3462,0.3152,0.2912,0.274,0.2564,0.2385,0.33199,0.003972970899999999,0.3547,0.3905,0.4186,0.4405,0.461,0.4709,0.4801,0.4314,0.2118,0.2164,0.38759000000000005,0.008786644900000001
100,0.001,0.01,Sigmoid,,,,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.001,0.1,Identity,,,,0.4167,0.4103,0.3932,0.3718,0.3462,0.3152,0.2912,0.274,0.2571,0.2391,0.33148,0.0038384696000000004,0.3483,0.3905,0.4186,0.4405,0.461,0.4709,0.4801,0.4314,0.212,0.217,0.38703000000000004,0.0088049921
100,0.001,0.1,Sigmoid,,,,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.001,0.3,Identity,,,,0.4231,0.4103,0.3932,0.3718,0.3462,0.3152,0.2912,0.2748,0.2564,0.2391,0.33213000000000004,0.003952554099999999,0.3547,0.3905,0.4186,0.4405,0.461,0.4709,0.4801,0.4319,0.2118,0.2166,0.38766,0.008784202400000002
100,0.001,0.3,Sigmoid,,,,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.075,0.01,Identity,,,,0.4231,0.3846,0.3868,0.367,0.3436,0.3162,0.2921,0.2708,0.2507,0.2404,0.32753000000000004,0.0035816100999999994,0.3462,0.3729,0.404,0.4304,0.4477,0.4601,0.47,0.4191,0.2015,0.212,0.37639,0.0084893049
100,0.075,0.01,Sigmoid,,,,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.075,0.1,Identity,,,,0.4231,0.3846,0.3868,0.367,0.3436,0.3162,0.2921,0.2708,0.2507,0.2404,0.32753000000000004,0.0035816100999999994,0.3462,0.3729,0.404,0.4304,0.4477,0.4601,0.47,0.4191,0.2015,0.212,0.37639,0.0084893049
100,0.075,0.1,Sigmoid,,,,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
100,0.075,0.3,Identity,,,,0.4231,0.3846,0.3868,0.367,0.3436,0.3162,0.2921,0.2708,0.2507,0.2404,0.32753000000000004,0.0035816100999999994,0.3462,0.3729,0.404,0.4304,0.4477,0.4601,0.47,0.4191,0.2015,0.212,0.37639,0.0084893049
100,0.075,0.3,Sigmoid,,,,0.141,0.1571,0.2009,0.2212,0.2269,0.219,0.2161,0.2059,0.1966,0.1865,0.19712000000000002,0.0007261156000000003,0.1197,0.1544,0.1946,0.2382,0.2719,0.292,0.3121,0.2661,0.1,0.1059,0.20549000000000003,0.005913848899999999
