Algorithm: ListNet
Dataset:   MQ2008

Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3483	0.3974	0.4215	0.4427	0.4565	0.4709	0.4818	0.4312	0.2086	0.2108	0.4689
Fold2	0.3248	0.3524	0.3855	0.4048	0.4266	0.4431	0.4451	0.4247	0.1687	0.1714	0.4394
Fold3	0.3652	0.3917	0.4031	0.4310	0.4519	0.4689	0.4712	0.4539	0.2509	0.2557	0.4761
Fold4	0.4352	0.4650	0.4823	0.5064	0.5257	0.5356	0.5478	0.4990	0.2853	0.2903	0.5446
Fold5	0.4034	0.4496	0.4696	0.4992	0.5128	0.5283	0.5431	0.5060	0.2188	0.2234	0.5282
average	0.3754	0.4112	0.4324	0.4568	0.4747	0.4894	0.4978	0.4630	0.2265	0.2303	0.4914

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.4038	0.3910	0.3718	0.3574	0.3346	0.3077	0.2848	0.2644	0.2500	0.2333	0.4504
Fold2	0.4013	0.3599	0.3397	0.3232	0.3083	0.2909	0.2721	0.2516	0.2350	0.2223	0.4379
Fold3	0.4076	0.3790	0.3418	0.3328	0.3210	0.3015	0.2821	0.2619	0.2498	0.2357	0.4523
Fold4	0.5287	0.4841	0.4586	0.4331	0.4038	0.3800	0.3585	0.3360	0.3142	0.2975	0.5317
Fold5	0.4841	0.4459	0.4055	0.3790	0.3452	0.3217	0.3057	0.2818	0.2647	0.2490	0.5150
average	0.4451	0.4120	0.3835	0.3651	0.3426	0.3204	0.3006	0.2791	0.2627	0.2476	0.4775

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.4161	0.4724	0.4831	0.5093	0.5228	0.5363	0.5465	0.5073	0.2153	0.2222	0.5371
Fold2	0.3739	0.3884	0.4315	0.4544	0.4683	0.4753	0.4892	0.4371	0.2173	0.2195	0.4738
Fold3	0.3333	0.3317	0.3766	0.4001	0.4191	0.4337	0.4364	0.4229	0.1597	0.1630	0.4343
Fold4	0.3779	0.4071	0.4101	0.4389	0.4557	0.4693	0.4753	0.4603	0.2496	0.2553	0.4826
Fold5	0.4331	0.4984	0.4997	0.5254	0.5353	0.5462	0.5498	0.5027	0.2930	0.2969	0.5565
average	0.3869	0.4196	0.4402	0.4656	0.4802	0.4922	0.4994	0.4661	0.2270	0.2314	0.4969

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.4968	0.4618	0.4098	0.3806	0.3478	0.3206	0.2985	0.2779	0.2604	0.2465	0.5191
Fold2	0.4423	0.4071	0.4038	0.3830	0.3538	0.3152	0.2921	0.2740	0.2557	0.2391	0.4705
Fold3	0.4140	0.3471	0.3439	0.3264	0.3096	0.2930	0.2712	0.2532	0.2350	0.2217	0.4432
Fold4	0.4204	0.4013	0.3439	0.3328	0.3159	0.2983	0.2803	0.2643	0.2456	0.2325	0.4686
Fold5	0.5223	0.5127	0.4671	0.4347	0.3987	0.3800	0.3558	0.3336	0.3142	0.2943	0.5437
average	0.4592	0.4260	0.3937	0.3715	0.3452	0.3214	0.2996	0.2806	0.2622	0.2468	0.4890

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3772	0.4027	0.4224	0.4499	0.4703	0.4817	0.4841	0.4576	0.2350	0.2376	0.4866
Fold2	0.4239	0.4386	0.4613	0.4860	0.5046	0.5226	0.5266	0.4898	0.2557	0.2600	0.5224
Fold3	0.4128	0.4369	0.4613	0.4845	0.5072	0.5184	0.5258	0.4796	0.2405	0.2449	0.5166
Fold4	0.3667	0.3938	0.4204	0.4449	0.4643	0.4787	0.4857	0.4504	0.1976	0.2012	0.4751
Fold5	0.3603	0.3869	0.4017	0.4267	0.4476	0.4620	0.4705	0.4401	0.2105	0.2132	0.4640
average	0.3882	0.4118	0.4334	0.4584	0.4788	0.4927	0.4985	0.4635	0.2279	0.2314	0.4929

Folds	Pre@1	Pre@2	Pre@3	Pre@4	Pre@5	Pre@6	Pre@7	Pre@8	Pre@9	Pre@10	MAP
Fold1	0.4437	0.4130	0.3779	0.3631	0.3473	0.3245	0.3024	0.2842	0.2666	0.2493	0.4761
Fold2	0.4989	0.4448	0.4062	0.3859	0.3614	0.3436	0.3194	0.2964	0.2770	0.2607	0.5108
Fold3	0.4894	0.4500	0.4184	0.3941	0.3702	0.3433	0.3185	0.2973	0.2773	0.2609	0.5062
Fold4	0.4404	0.4011	0.3780	0.3543	0.3336	0.3106	0.2875	0.2665	0.2506	0.2355	0.4698
Fold5	0.4213	0.3872	0.3582	0.3388	0.3260	0.3046	0.2857	0.2654	0.2487	0.2328	0.4536
average	0.4587	0.4192	0.3877	0.3672	0.3477	0.3253	0.3027	0.2820	0.2640	0.2478	0.4833

